pathway	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
GLUTORN-PWY	L-ornithine biosynthesis	39726.8769	38453.3289	47867.5549	39250.1034	50378.6374	42550.9696	46869.3421	43549.4064	27173.5342	35165.9384	42301.5122	31094.8942	43636.1055	49130.6625	44311.7299	33949.4329	34957.2835	33680.816	51033.9465	40698.7889	42522.7266	39568.5206	44997.4879	39643.1588	39501.5556	39368.5246	27710.5442	35738.0593	44454.8304	47684.6961	34083.6624	47354.0133	37971.4266	36972.5687	44875.7783	38719.5163	36491.2587	34718.0656	32972.7448	45859.8192	38898.5452	42796.8273	37523.1787	34785.0027	44552.8248
GLYCOCAT-PWY	glycogen degradation I (bacterial)	49824.1609	56997.9576	68774.7911	56320.6445	70554.3764	61382.4928	68243.1409	59595.5461	38327.6411	51228.2934	53622.9048	48791.5519	65035.4275	69381.1543	62602.8526	48421.2379	51301.5141	51945.8104	72432.4987	55686.3021	62626.8963	54450.8171	62619.2768	56181.1647	58437.8606	55865.9112	41907.0126	53314.8479	61489.929000000004	68864.6144	47677.2528	66094.0266	54633.2542	56073.0143	64226.437000000005	55281.3279	53131.7548	48867.8232	47099.6575	65320.7712	55110.3678	55896.7813	50785.1817	44617.380999999994	61033.9921
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	51133.7322	53144.9867	62948.0005	52993.1127	64345.6577	56895.3884	61507.7633	55226.7774	34038.4083	46636.5539	51252.4095	46245.8461	59531.3362	62741.5551	57896.8935	42691.3362	48611.0334	48894.587	65748.4665	30563.5949	58425.943	25912.412999999997	57707.112	52117.2277	53322.8076	51618.5621	40035.0521	50819.7445	57264.3695	62336.7698	44173.1944	59542.9175	51916.1422	51863.3744	59702.9861	51799.2635	49825.6169	45184.5366	43108.2967	60152.6339	51186.3774	50848.3389	46211.7303	42893.8528	55974.7636
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	106.0095	21.93	94.9774	139.106	118.5573	155.4074	122.1052	71.8754	46.8775	24.7039	47.1414	21.6376	62.9424	23.5582	48.7717	70.3021	101.0867	398.9554	500.4393	9401.523000000001	559.2828	13964.7852	42.6729	26.4276	90.1265	43.0471	170.9715	44.1584	33.5052	22.6217	33.8694	21.2589	92.3714	129.5941	67.67399999999999	137.0754	116.8409	72.6129	55.4848	57.1957	27.9087	51.4584	11.3067	79.0555	37.7874
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	24572.3219	35209.0038	32684.146	31125.0283	34708.2147	30954.5413	27883.0671	34425.9766	27407.5738	27413.1664	30514.7685	27609.9299	42062.1685	35742.9376	41070.6865	29322.1868	27991.7824	35557.0905	44565.1443	59082.4739	34651.2031	55360.7084	26385.8347	24324.045	27536.7728	37807.708	28768.5661	34977.3151	28479.0365	29714.067000000003	37433.5147	42862.2707	30935.1554	31493.5685	34600.9024	33475.6835	33359.0734	46068.0253	32920.5915	31557.8914	39585.2363	46497.1264	40139.3087	44745.5156	41550.8619
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	13459.7118	17731.4837	17817.6366	15652.6931	10023.1865	15049.5847	11282.3196	13932.3366	6809.147	15519.8314	13517.7721	16137.6078	18796.653000000002	11402.8094	17370.3085	14965.8676	13849.9179	16318.2355	19733.8983	30110.9423	15328.8121	27725.4399	13575.2363	14021.5513	16206.5219	15696.8252	11745.1402	13928.4671	11238.8145	13178.3869	10836.275	18686.5491	8952.5333	17479.3376	10498.7891	18495.7921	14463.476999999999	15830.5785	14582.7227	15740.8192	13231.732	15737.0613	21079.7384	24085.6115	18062.5816
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	260.2683	70.637	349.5999	438.8058	394.3866	301.3358	285.6156	118.4001	124.6844	100.3788	179.4453	78.559	169.2209	53.6393	115.1099	102.189	230.7358	856.7541	1108.893	17704.1038	1991.77	22311.7187	77.5066	61.0626	212.2157	54.5167	336.1708	107.4191	79.3113	49.7882	87.9636	43.8505	331.181	461.9748	264.0197	502.0058	375.6478	249.1109	86.2725	134.1653	98.78399999999999	99.7488	45.3421	214.5867	54.693999999999996
GLYOXYLATE-BYPASS	glyoxylate cycle	125.5095	22.9216	107.4415	154.7217	142.9701	190.6541	146.1983	84.3904	54.2334	26.4382	58.5676	22.6466	72.4304	25.2604	54.1845	78.4729	113.7962	532.3846	706.0413	12786.3921	1152.8	18772.5622	45.8852	27.9668	111.5141	45.9156	188.8463	45.2716	36.5961	23.7814	36.6202	21.2963	107.6321	152.1074	73.1544	162.2625	122.9297	91.0648	63.8746	64.8255	32.2227	51.5584	11.3154	79.7885	37.9491
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	183.548	39.4512	22.7059	142.7201	72.4049	221.8136	18.5583	25.1007	2.9729	49.2602	34.9006	115.3263	25.7879	2.7472	66.0047	104.2139	99.7571	425.1009	471.2464	251.0574	338.5136	62.5748	14.3347	23.6577	17.0317	122.8936	38.9732	332.8939	139.379	18.6018	258.8037	57.965	171.666	125.0287	160.1483	31.7517	102.6112	247.3278	122.8487	114.5446	213.2616	60.4826	180.4328	208.71	89.7195
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	7157.7093	1583.3162	1228.0658	2090.6403	1490.0277	2271.3946	1080.4903	558.3018	317.5727	676.9058	3029.1363	1270.2858	767.7589	422.494	1740.1253	415.7642	651.5998	2151.6981	626.5214	5236.348	1055.8986	7466.2611	232.4009	391.4868	482.2266	305.0457	1960.1146	871.3198	959.2875	342.8767	788.2961	693.0712	1599.6457	1480.1367	1899.4167	1085.2357	1788.0068	449.2932	616.5719	1010.1642	646.8654	1643.7552	1622.1645	2241.2544	1277.1569
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	10161.0747	2707.7823	2982.0737	4131.2681	2674.4482	4414.2096	2570.9492	1473.1225	376.1416	1329.2372	4449.7266	2668.7373	2184.5451	805.4333	4154.309	486.1157	901.0313	5930.4004	2767.9401	14107.6164	5698.3891	12786.7609	326.7047	542.9217	967.2873	655.5812	3333.5169	3073.7068	1561.2666	603.952	1724.5349	753.3921	1855.0456	1788.6697	2490.8636	1307.5263	2090.8309	2781.7265	1531.2727	1805.5551	2293.0403	1833.3036	1818.3335	2896.9328	1460.1098
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	1423.9653	1942.6171	1243.5453	1378.4984	1074.1809	1046.3406	1046.9967	1349.0020000000002	541.9698	1351.6911	989.0539	1923.7198	2781.3263	470.5249	1455.6003	1098.4414	1969.8531	1293.2946	1167.2817	16849.2043	1899.6793	8171.8964	603.1864	1279.6284	1264.8892	1128.126	1787.2253	2564.9893	1018.5202	1001.1988	1716.9920000000002	1590.6904	681.438	1033.107	1282.8795	958.5271	1063.527	3520.5325	1815.8225	1871.8363	2615.2339	1128.8175	2022.6478	3432.6805	1714.7902
HISDEG-PWY	L-histidine degradation I	1968.7852	4533.1918	4389.9733	8422.3667	2293.7807	5683.6809	2733.5627	2867.3656	2125.8411	2589.3212	1910.3370000000002	5684.8897	1978.8642	1941.519	2468.8821	3341.8617	3291.3822	4933.4768	3692.0406	34995.928	2674.6679999999997	32228.7406	2007.4467	2425.0749	3326.8429	2196.7183	6601.3096	7332.6694	2820.2558	1446.2626	2373.0019	4479.6974	3980.9397	4693.6956	4650.9571	4233.2984	5512.2627	2272.2986	2848.1914	4158.6361	2516.8131	3362.2875	2991.1102	2465.6274	3170.5726
HISTSYN-PWY	L-histidine biosynthesis	40133.6626	41205.4534	48855.2456	42112.8343	50024.1914	44583.3136	47636.6939	45143.4892	28985.5891	37553.2303	43078.1113	34514.7393	45798.4854	49252.0542	45401.1855	34641.2531	37833.7308	36251.611000000004	52006.6188	49607.6109	43363.725	47459.3165	46209.587999999996	41152.3652	41726.1804	41364.2303	31774.2844	39019.6746	44132.6623	48552.487	35947.6577	45778.5396	39623.6892	39778.5141	45729.1776	40311.5873	38915.9299	36602.7444	35663.3769	46057.0963	40824.0442	42278.4093	37214.9116	35757.5075	45240.9924
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	3403.7375	2401.2265	4049.93	3322.5701	4935.1342	2657.3059	2782.8176	3719.5618	3580.2990000000004	2828.1881	4751.4898	1216.2166	5386.6733	4584.1211	3992.9381	2280.6248	6318.4174	2268.3613	7125.104	11091.6646	3671.4989	14029.4605	3285.3628	4523.9573	2758.3096	3795.5381	1549.1277	1982.4851	3024.3822	4940.6197	2525.9265	11146.6512	3192.9339	4547.6666	2440.73	2209.4719	2898.6092	4273.2919	4736.0565	3021.6623	4554.1140000000005	10130.8942	8908.5096	7507.06	6197.2264
HSERMETANA-PWY	L-methionine biosynthesis III	14953.0121	5935.2991	5869.8669	8738.711	4227.1259	8086.371999999999	4668.2626	3778.8709	7199.4580000000005	3114.4115	8651.1483	4665.1451	2684.8129	4663.0321	5572.3548	9244.5689	3305.8076	4127.3326	5168.5618	11526.2253	3619.4828	14677.2072	3326.2521	3386.6765	2790.3741	3864.2323	5274.5643	5170.0776	3060.9823	2344.7889999999998	3803.9057	6624.1821	4065.6582	5196.7902	5479.7196	4658.7303	8249.6202	3745.5989	4247.3937	3923.5423	2876.1436	10564.3858	8887.7296	7757.5162	6344.9998
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	52966.2384	59354.9906	69406.3071	58952.9881	70631.5994	62681.8576	66456.5694	60472.4398	38348.1958	51964.3282	55499.2524	49951.7473	65427.2539	69831.8698	64773.9151	49035.0844	51645.1786	54838.2407	72532.7601	54669.4957	63353.7477	52387.8917	61757.608	56302.779	58664.6319	57014.0536	44560.2664	54050.6431	60894.6651	68051.3687	47409.6395	67424.0705	56136.7458	57194.5675	65936.1709	58221.5377	54926.918	49236.7353	47971.8964	64353.3197	55031.5479	61516.6599	54565.9056	49309.3783	63731.2922
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	15.9728	56.6416	37.0405	26.5759	7.9819	115.2482	49.7378	122.8502	66.1819	70.5593	13.34	18.6071	37.0735	49.9515	124.0605	39.8378	92.9423	604.8405	875.8042	17681.9023	1450.4907	22475.9911	37.0026	39.7207	52.8352	47.6052	156.6532	82.0307	52.7066	41.4043	18.5965	18.5449	69.9085	68.8867	10.6241	0.0	9.1126	7.9903	21.2342	59.3583	14.3622	110.6329	18.5826	31.8525	23.9094
KETOGLUCONMET-PWY	ketogluconate metabolism	3.9737	0.0	9.1345	4.6124	1.9914	0.0	0.0	0.0	0.0	0.0	1.3301	4.5476	8.8865	0.0	0.0	7.5126	18.0833	17.3972	1.9964	9.9939	5.9724	0.0	6.8946	1.9608	10.7692	0.0	27.471	5.8483	5.597	1.9378	0.0	4.6547	0.0	0.0	0.0	0.0	2.2766	1.989	3.2711	12.3158	1.5878	0.0	0.0	1.999	1.999
LACTOSECAT-PWY	lactose and galactose degradation I	479.5713	806.3048	961.2978	682.2975	278.2416	301.6499	309.1737	902.6084	455.8241	644.8221	548.534	757.9561	976.873	223.8378	809.3931	529.2227	436.5665	3132.7957	902.2815	1952.2622	3281.5357	927.3412	197.2808	392.7846	610.6468	483.6151	616.3362	1411.7561	191.6962	143.3837	647.6097	727.1801	920.8395	655.4136	1430.3327	379.3932	737.2379	1662.5014	740.8146	538.1523	1335.0282	436.2333	776.3244	1446.6242	726.064
LEU-DEG2-PWY	L-leucine degradation I	39.1724	9.9706	29.6617	149.5076	84.21799999999999	282.2044	241.3935	56.3795	21.7279	9.8879	35.9188	17.3426	29.2729	4.9614	19.8269	49.8907	60.7504	417.1956	292.4392	266.5883	336.2698	8.9322	20.8695	18.4627	65.0342	27.6127	225.7911	17.3129	15.8818	12.1293	65.8596	7.3619	60.0485	80.6813	29.259	86.0272	86.4098	76.7128	81.39699999999999	48.2512	28.1366	24.5923	14.7934	67.0738	57.3506
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	5091.7817	3644.6261	6066.686	4995.0835	7332.2080000000005	4023.5449	4210.7662	5564.5807	5278.0216	4251.0391	7011.5815	1864.8759	7946.9962	6829.5637	5967.351	3449.4543	9158.7547	3441.7892	10410.2239	15837.1281	5509.3346	19417.8881	4938.901	6691.2635	4166.4308	5660.9421	2362.2136	3020.0008	4555.8201	7326.0692	3808.0485	15654.6543	4800.03	6741.4651	3708.8958	3354.3833	4370.6873	6338.0526	6956.1737	4565.1320000000005	6751.5746	14210.5971	12590.192	10729.1741	9068.8973
METH-ACETATE-PWY	methanogenesis from acetate	975.7122	3247.0027	483.0847	559.66	343.8529	580.4593	530.6883	1734.3278	928.1361	807.7898	1365.0392	2654.6893	2523.7152	1183.3719	1089.2221	1495.8108	2059.0559	953.0703	776.7299	15381.8849	1117.7142	5801.0682	1376.9347	2505.501	3511.9473	2580.1038	1744.7705	2040.4579	833.3510000000001	896.2371	1164.3016	1241.7253	790.9346	664.0488	684.5357	430.9547	963.9109	2131.6627	1286.2151	1855.9683	1779.8648	1030.5526	1283.3243	828.5664	1061.7234
METHGLYUT-PWY	superpathway of methylglyoxal degradation	2.4653	5.6755	8.0919	5.7812	0.0	29.2441	12.1283	32.7865	16.5847	5.6768	1.6575	0.0	10.9337	11.6309	16.5259	0.8220000000000001	0.8211	115.8255	231.1364	5146.3981	371.9443	8013.5287	7.9124	4.9078	5.6847	13.529000000000002	7.4207	5.5725	6.3826	4.0073	2.4558	5.6499	15.9197	16.1984	0.823	0.0	0.0	1.6592	3.2485	9.4361	0.8193	16.1064	0.8187	0.0	2.457
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	610.0905	809.9992	666.7717	732.0678	672.2182	900.2996	955.5458	1808.3215	715.2189999999999	943.4699	820.9437	793.1329	1276.6431	805.2639999999999	870.8123	1345.6429999999998	1233.1208	1282.2239	1405.9784	7133.2109	2436.9728	10550.1723	1157.2433	1250.646	1383.8309	1302.1413	995.4428	779.1821	792.9409	771.0785	1473.8866	2816.1899	787.0247	975.1005	1554.5301	362.4235	1095.0157	1700.7588	817.4118	2205.3119	2010.3287	2929.1756	5084.7698	2494.3198	3206.8572
NAGLIPASYN-PWY	lipid IVA biosynthesis	9379.261	6255.799	5326.2704	10347.9574	3344.781	7314.5708	4022.3629	5767.7817	9245.3596	7399.6971	8511.4006	10034.7032	4566.1259	3511.3541	5687.2349	9516.9105	7261.844	8456.690999999999	5481.6624	40561.7899	4070.5241	40983.5369	4690.1827	5379.1296	5955.3529	5452.4161	10625.9276	10520.2721	4175.8599	3203.6894	7602.3401	3405.5035	8170.8742	9542.9336	6647.1799	7031.5406	10488.527	6237.9646	9415.8893	5242.5818	5199.6169	4282.214	5669.8919	6523.7247	5987.0997
NONMEVIPP-PWY	methylerythritol phosphate pathway I	43308.2329	46597.114	55189.6399	48187.4232	56361.7334	49948.3654	52956.35400000001	50354.9848	32725.5832	42038.1324	47574.4349	41299.4843	50734.4302	55500.6065	49709.3045	40011.6702	44103.9869	42065.87	58598.414000000004	49081.5335	49582.9432	46245.2852	52236.2533	47008.7175	47174.0644	46172.4643	36133.2925	46336.402	50700.3769	54640.0604	41060.776	52944.2831	46497.9366	46255.9003	52657.4472	45552.8328	45621.405	41079.2945	40236.6105	53150.7662	46273.0722	46772.8669	42033.9304	39350.0702	50531.8344
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	67366.727	73970.7169	89241.3601	73186.4929	91125.8931	77740.9242	87822.1277	74405.7102	47042.6701	66076.3408	67310.6009	63936.2201	83036.8206	91088.3759	80500.1608	59768.8556	64504.0648	69684.1852	90948.3557	67501.69900000001	82044.4712	60698.0233	77538.8205	70899.2357	76617.2786	68912.4579	54345.5461	67821.7003	78718.1933	87666.5316	61611.4717	87613.7771	74465.3778	71031.5691	87754.9556	75216.2052	68492.3596	66923.8724	59545.5151	84417.0527	73170.5394	75015.6836	69607.7792	65778.398	81046.7796
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	33249.6713	34550.7689	42942.2242	36458.4811	44083.0605	38103.8036	41360.5595	39904.1636	23076.5128	31561.7446	36944.3862	29996.6814	37616.1965	43402.4588	37790.4243	27338.2873	32693.2306	32647.4828	46596.2158	27439.6722	39694.7331	22772.9699	41073.9389	36107.8329	35116.2261	35194.1278	23043.1898	34906.7831	39947.9974	42740.3312	32208.2942	39161.2109	34652.9423	32577.537	37932.7767	32050.0041	33087.559	32917.254	29526.1796	39992.404	36147.7518	35319.5455	31268.5836	33684.5727	38922.0393
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	5.232	8.6458	10.7369	5.4270000000000005	0.0	36.9281	15.6639	33.3365	18.6954	16.836	1.5603	5.5865	10.8383	12.2064	24.039	0.7695	23.4943	186.4596	277.2505	5942.4388	557.1892	7863.7623	7.6808	4.6362	13.5682	13.7557	42.0398	25.2733	13.6902	8.1072	2.3317	5.4198	15.6333	18.8422	0.7698	0.0	0.0	1.5628	3.0993	13.4522	0.9045	16.5357	0.7698	2.7981	2.3298
ORNDEG-PWY	superpathway of ornithine degradation	5.9392	8.4895	10.57	4.6383	0.0	39.4633	28.0868	27.7014	15.9023	16.2362	1.3348	7.8932	9.2512	9.663	23.0621	0.6593	21.8178	190.3191	261.618	4706.8624	513.6126	6259.7051	6.3781	3.9453	13.9355	11.574000000000002	41.8982	24.3586	12.1694	8.1253	1.9991	4.6407	13.5356	17.1486	0.6598	0.0	0.0	1.3398	2.6562	12.8954	0.9398	14.1212	0.6599	3.9984	1.9976
P101-PWY	ectoine biosynthesis	0.0	4.9728	0.0	0.0	0.0	0.0	2.7032	0.0	0.0	3.7762	13.2832	0.7968	0.0	0.0	0.0	0.0	0.0	6.8379	0.8055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4264	0.0	0.0	0.0	3.5012	0.0	0.0	0.0	11.7847	8.3566	0.0	16.3612	0.0	0.0	0.0	0.0	8.2344	10.1884	0.0
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	459.2861	105.926	570.3812	676.5912	681.8052	456.7131	270.7946	223.1875	123.7527	129.1849	174.8725	108.32799999999999	278.4695	91.2883	243.4015	145.32299999999998	438.2017	1527.0062	1715.0635	22056.9797	2778.9366	26421.8874	149.07399999999998	99.0679	406.6956	85.9422	516.8891	223.3846	148.5815	103.3759	34.8625	79.3776	544.4859	822.3710000000001	506.4778	774.6507	636.4683	280.2563	142.7775	211.7831	115.9192	209.2285	34.8735	280.5351	74.6127
P108-PWY	pyruvate fermentation to propanoate I	14681.4777	13540.5167	10521.5444	18313.813000000002	5576.7697	13904.6646	7849.5601	10568.3242	15870.2642	14302.4939	12543.1941	15661.7479	10351.3768	5662.5512	10832.777	15277.4685	12860.0352	16403.2882	9745.2433	52412.6658	9245.6531	50799.6452	9678.3301	10441.0229	12265.9576	10716.9747	17422.3548	17351.0974	7272.4925	7345.6468	14806.5796	9071.8732	11534.618	14632.5669	12764.5797	13727.1421	15414.2714	13660.0914	15924.9939	11398.5345	12633.4447	10088.2132	12099.2604	10211.0819	13564.8031
P122-PWY	heterolactic fermentation	6289.9766	9734.8796	8934.6302	8824.1105	5302.0199	7574.7686	5999.092	6493.8759	5105.1939	7032.1201	6900.4699	6369.0831	7184.5815	6103.4163	8790.0108	5245.1059	7142.6641	12897.612	7753.4473	4612.5259	13621.5907	1909.8275	7573.6936	7521.1669999999995	9347.681999999999	7039.1998	7246.5947	9617.2901	5294.5745	6935.0777	9176.9667	4954.9496	6934.6334	6151.7831	7288.7814	6121.115	7633.8196	13910.7709	7416.4146	6609.2889	10770.2852	4660.3477	7338.3902	12197.9782	5871.3857
P124-PWY	Bifidobacterium shunt	9203.6834	15081.7662	12631.8261	12659.9144	13332.5062	11506.4071	11217.8773	10056.8393	6541.3983	9055.841999999999	11348.0384	8373.4891	9585.8244	14416.7471	13786.663	7020.9769	9918.8617	16489.7342	11025.6061	5292.598000000001	18336.1775	2185.6147	12480.2238	10866.5038	13525.1171	10474.2425	9458.6577	13392.1684	8005.6562	11656.9802	12420.3551	6515.3463	9459.1775	8234.8489	10097.5537	8073.2714	10660.5377	18778.2523	9731.8902	9484.454	15262.701000000001	6392.7392	9691.1692	16619.7663	8004.8564
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	73.5537	121.2515	167.7986	45.8118	75.6613	43.8833	72.3025	111.2235	44.3437	49.4818	32.8424	42.4343	67.2764	24.1067	52.9408	43.8842	62.5419	127.8702	50.5067	895.6327	136.7231	488.5331	40.6605	53.8505	68.7	90.3356	32.4671	71.1977	24.7533	20.7288	95.3133	66.1009	104.7125	99.5012	78.7125	76.3609	177.5301	113.5403	87.0557	102.6809	148.3169	104.9397	65.5557	156.6073	85.2352
P161-PWY	acetylene degradation	23559.134	39849.5819	35958.2456	23807.4983	36733.4287	32863.77	34871.4281	29435.8715	17565.2155	24244.3578	16766.2292	27887.2605	49562.1094	34953.4954	42789.2218	33539.6734	26269.3548	29711.0344	44170.3799	23590.8417	34576.9667	17182.6712	24090.2787	24946.4783	35405.4575	37890.6376	21109.7773	21698.6528	28259.8124	34695.1845	24899.0576	46701.738	33910.0269	38277.0541	39337.7833	43375.0374	26475.6547	35180.5984	25713.4864	39536.0813	32801.9452	46935.9508	40671.5704	44824.0459	43352.0942
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	3824.6936	1643.8274	616.9126	1099.6998	2275.2869	1523.5967	1470.5663	904.6587	350.2139	451.0857	2577.3265	1699.5842	1425.0464	1023.3525	2380.6668	646.0735	1040.3958	517.1179	408.2179	311.92900000000003	471.07800000000003	293.5702	834.6416	1065.6549	1496.9723	1035.7561	889.7223	1095.8173	1914.9429	740.1514	828.4657	801.5895	637.5401	667.5639	850.865	717.5161	1070.2126	1315.9166	961.3272	1601.4606	1710.5859	680.3729	864.7871	452.8432	739.7764
P163-PWY	L-lysine fermentation to acetate and butanoate	1679.6121	1412.3736	1290.9074	1691.0822	1598.4982	1548.4822	1539.7322	1501.0620000000001	680.9516	1475.7716	1506.3243	1254.2046	1238.5623	958.5882	1446.3866	1335.9424	986.9953	1246.9091	1333.8405	325.1998	1016.5779	245.0569	1238.7357	1973.5571	2751.1681	1623.4846	1282.8685	1798.5739999999998	861.5858	1326.6746	2362.3837	1178.8318	920.6135	915.3847	551.1439	683.6567	1195.8562	1604.3853	1761.9859	2032.8296	1932.4115	1307.5319	1142.7732	1006.3316	1991.4875
P164-PWY	purine nucleobases degradation I (anaerobic)	14825.7698	20557.2608	17100.0527	13770.704	17417.4966	18290.485	24076.4636	16711.1306	7593.6756	13682.2233	9588.4318	18455.4422	24887.8468	20469.5204	19094.7369	18861.2762	15443.6224	16584.9637	23885.5411	15802.9404	20772.5311	10728.1929	14283.4437	14899.5815	24069.7221	19837.2435	12862.3213	13240.662	17628.8489	17921.2229	13113.8231	31474.4302	12649.8995	16074.8885	16218.5608	22299.472999999998	14384.4567	20487.5685	11278.8471	29790.5301	19815.0908	27958.8154	21080.682	20018.1988	29102.9449
P221-PWY	octane oxidation	5.9993	3.9997	0.0	0.0	5.9995	167.5308	181.4557	3.9998	0.0	1.9999	5.9995	2.6599	0.0	1.9999	3.9997	5.9992	1.9999	233.0643	261.0457	249.8255	280.7796	3.9989999999999997	0.0	1.9999	1.9999	1.9999	3.3398	0.0	5.9994	1.9999	1.9999	0.0	0.0	3.9997	7.999	3.9997	3.9997	5.9992	1.9999	3.9997	0.0	0.0	5.3394	4.6596	3.9997
P23-PWY	reductive TCA cycle I	1581.7713	5446.3795	4079.883	7251.2691	2132.3057	7004.8126	3311.0879999999997	2536.0019	1603.6439	1848.9917	942.8108	3259.9008	2155.3409	1044.9911	3680.9001	2098.8119	1931.7115	3913.9678	2429.7496	25376.0055	3052.6826	27219.8482	294.6487	306.9729	1498.8521	431.2099	6926.4580000000005	3221.6654	542.5772	1045.6921	8150.3461	3780.7957	4127.0294	3454.7814	4731.3585	1916.5399	4148.8806	10344.8888	5239.7535	4025.3443	8142.9618	4352.0388	7915.701999999999	14376.2846	5346.0643
P261-PWY	coenzyme M biosynthesis I	1.976	0.0	0.0	0.0	0.0	1.9987	3.9888	3.9768	1.9592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9969999999999999	0.0	134.2228	7.9081	65.565	1.9803	0.0	0.0	0.0	0.0	0.0	1.9852	0.0	0.0	1.9882	1.9929	0.0	0.0	0.0	0.0	1.9915	0.0	7.86	0.0	1.9959	1.9942	0.0	0.0
P281-PWY	3-phenylpropanoate degradation	33.8824	0.0	16.5241	11.2307	25.4684	0.0	0.0	0.0	0.0	0.0	16.4159	4.6805	15.8849	0.0	0.0	6.209	29.2844	15.5741	1.956	9.3504	5.4801	0.0	8.9492	1.6941	28.0	0.0	23.1325	4.7254	4.3636	1.6696	0.0	4.6726	0.0	0.0	0.0	37.4378	13.1996	24.5178	7.8491	10.8166	6.276	0.0	0.0	21.3851	3.1847
P341-PWY	glycolysis V (Pyrococcus)	1864.5707	856.6835	914.8581	1463.2187	696.9326	1673.0075	1428.0954	1590.9295	1021.0785	1819.6399	908.3131	1761.9034	1782.2434	1007.4209	1221.9339	2415.8699	1976.1049	1235.8396	1393.6116	113.2268	2023.5629999999999	234.84599999999998	1789.6709	2115.2870000000003	2347.6752	1556.2191	1965.9663	2055.2486	1691.5182	1044.6991	973.9285	3276.43	1201.9829	1190.3371	2395.2883	248.9199	1549.0451	1181.015	545.3572	2209.7874	2350.6544	3494.8829	5341.1804	3280.2346	2945.8625
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	29.2932	20.2508	288.3775	356.4008	166.5782	313.0093	296.3995	19.2012	5.0891	10.3021	30.2586	0.0	0.0	9.6804	22.5759	20.5584	10.1877	479.5859	503.9939	572.2169	557.3777	19.3503	0.0	13.3753	10.2583	10.0611	0.0	0.0	19.2542	0.0	10.3772	0.0	202.0287	297.2129	209.1024	154.9993	248.0007	10.368	10.3719	10.3114	0.0	0.0	0.0	10.3399	20.1444
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	9386.3999	9152.4337	11389.3105	10571.6127	9583.4982	9111.2402	8196.4157	9930.4013	9363.2011	8205.0201	10049.6987	5106.837	11920.2569	8650.1184	9844.3446	6869.5419	14341.1198	7663.6628	12804.085	20609.0876	10172.8149	20130.4303	7493.1704	10233.3409	9216.4848	9735.4855	6003.2606	7516.0925	6939.4508	9103.446	7489.6144	15744.2766	9907.7167	11479.0171	8716.5665	7492.5579	9940.735	11373.8723	10207.2554	8600.9121	11809.3875	16146.514	16116.9793	15350.0468	12700.3199
P42-PWY	incomplete reductive TCA cycle	25234.0305	17940.1536	13786.5175	24583.3507	10150.8766	17963.1243	10454.6772	15728.6462	19646.7625	19194.501	19279.5193	23154.7302	13389.2723	7795.4064	14383.323999999999	20596.3544	20232.265	22121.5105	14504.7385	76757.8863	12996.7225	74789.1478	13948.5196	14918.9697	17235.4615	15782.983999999999	25944.736	26471.2807	10648.8982	9722.8087	20286.1663	13010.889	20593.9832	23497.7527	19011.4563	19630.2999	26035.1829	20110.9373	22985.5352	15050.0283	18028.3143	19457.9481	17830.0668	18928.3188	17542.1931
