Pathway	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Cell cycle - Caulobacter [PATH:ko04112]	480920.29000000015	507329.02000000014	612435.7200000003	532832.5300000003	624187.1600000003	555743.3999999999	588141.89	549811.3300000002	343313.6400000001	457850.2800000002	519849.3099999999	456897.6400000001	572883.4999999999	612823.0700000001	555941.9400000002	431781.02000000014	477659.05	477013.85000000003	665126.2500000001	597894.1400000001	559391.71	545140.1700000002	566649.4700000001	509634.69999999995	509376.67	508361.9300000002	392276.64000000013	508803.52999999997	562552.0499999999	600391.8199999997	458021.06	592728.9500000001	511643.9200000002	514194.58000000013	588429.06	508915.6900000001	494297.84000000014	476456.49000000005	440277.98000000016	591910.76	511468.1	524513.63	483668.2	472916.83000000013	565141.7500000001
Cell growth	880497.1800000003	1094811.19	1289535.8000000005	994115.1	1375071.5600000005	1127219.2499999998	1280649.6600000001	1134143.8699999999	600041.76	899460.9899999996	974295.4099999996	851085.9600000005	1258258.6300000004	1368866.42	1200374.9300000009	839830.5000000001	948386.1699999999	905207.4800000002	1374657.4700000002	338290.1399999997	1176486.8499999996	238520.46999999986	1191399.4700000007	1059654.53	1088556.4100000004	1081207.9500000002	705697.7699999998	925656.8299999996	1211139.5900000003	1335313.4500000004	836247.9700000003	1230845.6300000004	994974.6700000002	991050.5800000007	1197654.4400000002	1076928.07	881467.0399999999	882303.68	796102.9900000005	1222705.4300000004	1017281.25	1021505.2999999997	883719.8200000003	794383.4900000006	1141462.0899999999
Cell motility	2480.65	6915.47	4027.91	2425.879999999999	4019.8199999999997	5040.469999999999	3292.41	5038.33	723.0700000000002	1880.5900000000001	2086.6400000000003	4283.0	9466.18	3506.8599999999997	7667.19	4444.29	2614.71	2533.16	6971.630000000001	19600.11	3194.6099999999997	22628.91	2014.6300000000003	1581.5900000000001	3150.5599999999995	7677.2599999999975	2340.85	1780.5999999999992	3434.0	3740.390000000001	1999.47	4432.32	1841.64	6495.87	1905.13	7685.92	2061.2000000000003	3394.0699999999997	2789.4699999999993	5212.74	2990.28	4451.1	2362.85	4043.29	4993.88
Central carbon metabolism in cancer [PATH:ko05230]	231871.98000000004	260749.73000000004	324600.59	274026.1100000001	325598.45	288167.77999999997	309940.2700000001	284201.12000000005	177986.58000000002	236707.49000000002	261825.12	222421.50000000006	291693.30000000005	313952.05000000005	283451.17000000004	222933.14000000007	241361.72	257750.88000000006	350354.06	374973.22000000003	306346.11999999994	348801.88	292384.79	259348.02000000008	261973.19	258259.83000000007	199463.73000000004	260905.19	290445.32	315380.77999999985	243463.1700000001	300764.54	265115.4800000001	254353.6700000001	303669.19000000006	259881.9600000001	249895.60000000012	264204.74000000005	222199.08000000005	304811.27999999997	271099.01999999996	252544.3	238413.24	255998.06000000017	279083.03
Chagas disease [PATH:ko05142]	61.0	1129.89	826.9100000000003	1445.33	382.5	1505.62	619.04	280.17	35.08	227.9	45.17	552.83	323.92	151.33	669.08	61.5	239.01	666.5400000000002	291.97	3843.01	511.87	5833.21	28.91	31.25	232.16000000000003	28.25	1447.86	522.33	57.17	103.49	159.32999999999996	110.33	278.05999999999995	297.67	416.58	264.5	454.89	349.75000000000006	240.91	160.0	262.55	419.17	328.58	681.0	316.75
Chaperones and folding catalysts [BR:ko03110]	909156.2600000002	946318.6399999999	1097325.6599999997	994392.9899999994	1094345.2700000003	1009265.6599999996	1038100.4200000004	991540.3400000009	705612.4199999998	870015.35	952928.6900000004	874753.3700000002	1021501.7300000006	1079274.3600000006	1009078.8699999995	859189.6899999998	886738.76	925515.9400000002	1164452.11	1547184.1799999997	1031643.5499999993	1511052.7899999998	1012106.0399999997	925673.9	950301.1799999998	923718.8300000005	788925.07	969366.3699999994	990275.1500000011	1061238.6699999992	872905.4199999999	1076744.6600000004	967250.5500000013	978540.2500000012	1085945.3600000008	948331.4200000004	958261.3400000002	918074.0500000005	864354.0499999999	1064441.3199999996	950142.2400000001	974077.7900000009	920118.5299999993	900152.0699999998	1042481.8000000004
Chemical carcinogenesis [PATH:ko05204]	56.5	52.78	154.09	371.32	197.75	511.41	432.03999999999996	163.68	135.82	67.76	59.72	28.43	24.68	40.2	100.94	171.79	91.22	1125.1	1172.18	16245.94	1790.68	23462.55	36.97	48.0	76.22	116.12	384.64	77.44	54.68	43.78	90.99000000000001	25.32	234.52	382.3	207.32	202.39	258.22	98.12	109.72	87.5	58.67000000000001	86.68	40.28	72.78	84.38
Chloroalkane and chloroalkene degradation [PATH:ko00625]	50133.56	70081.34	77044.25	58096.91	78829.49	65173.94	72343.97	60752.46000000001	41109.61000000001	58164.509999999995	52835.52000000001	55444.15	82118.21999999999	77284.78	75717.43999999999	53961.01000000001	54448.689999999995	73549.73000000001	83322.14	61914.93000000001	84174.71000000002	52611.84	59398.46000000001	57217.03999999999	67888.89000000001	65825.0	45524.5	55727.00999999999	59964.86	75503.70999999999	55097.63	87818.25	68562.93	66255.78	78621.21	75846.39	60127.8	62549.979999999996	55706.48	75312.37	63759.920000000006	84031.59000000001	76635.84000000001	78621.09000000001	81803.26999999999
Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	7837.25	13948.26	14114.49	9892.16	13354.74	13205.09	14314.380000000001	8286.5	4550.49	8541.15	4957.67	8874.6	16156.34	12282.33	15500.07	8460.24	6377.5700000000015	13225.87	13716.539999999999	12666.96	13688.630000000001	17861.23	6467.16	6270.25	11113.99	10508.42	7440.389999999999	7436.03	9064.27	11599.81	5126.67	13702.26	9837.56	12270.65	11225.91	13985.51	10318.3	7165.5	5821.15	12782.16	8206.74	10375.17	8379.91	6733.83	11131.37
Choline metabolism in cancer [PATH:ko05231]	11954.63	8431.66	5324.03	6583.28	4627.78	5566.019999999999	5094.25	8163.2	7662.13	7702.95	10162.45	8847.24	6807.09	4887.67	6896.15	6252.32	8976.32	6455.46	5715.86	21920.799999999996	5015.66	23144.79	6152.16	7383.62	8161.66	8800.66	9957.75	9399.369999999999	5510.88	4888.71	8432.2	8098.78	5020.78	6852.07	5229.32	5438.76	8323.27	10617.29	9121.45	8385.55	9699.49	10253.01	11839.87	10787.53	8917.51
Chromosome and associated proteins [BR:ko03036]	1553598.27	1674872.54	1987011.9700000007	1727515.0799999998	2013384.3300000008	1775782.61	1883573.4500000016	1770800.7200000002	1122060.9900000002	1498587.5700000012	1659701.46	1470848.1500000004	1820671.5100000007	1985783.86	1794444.7000000011	1406358.52	1541301.99	1600899.3100000003	2094931.9100000001	2129821.310000001	1869098.8100000003	2042059.8499999999	1824016.17	1657988.8	1678328.3100000008	1631301.5399999996	1289369.3299999996	1661285.4499999995	1810406.3799999994	1947659.7899999993	1474163.6100000003	1878899.930000001	1694667.000000001	1640675.0700000008	1910580.4800000007	1632097.7500000005	1602825.1600000008	1568761.1400000006	1411895.3499999999	1882487.009999999	1668459.4100000004	1670415.3599999999	1534371.9399999995	1555749.62	1805551.4400000002
Circadian entrainment [PATH:ko04713]	5.25	10.0	17.5	20.25	5.0	23.5	10.0	12.25	5.25	2.5	13.0	22.5	2.5	8.0	7.5	4.5	19.5	31.75	8.5	356.0	3.25	167.5	6.5	7.0	9.75	4.5	31.5	14.75	3.0	3.5	16.0	16.0	8.75	13.25	10.5	11.75	6.5	11.5	25.0	9.5	14.25	10.25	16.5	5.25	15.25
Citrate cycle (TCA cycle) [PATH:ko00020]	509860.8200000001	464856.32999999996	501810.59	490944.95000000007	497240.70000000007	485768.5499999999	482391.85000000003	465025.8200000001	329807.31	398591.2400000002	469828.64999999973	420248.64000000013	487568.9200000001	479602.64000000025	498197.54000000027	421766.49000000017	405735.14000000013	441222.4699999999	531807.06	1000770.9200000002	454443.5399999998	963829.3400000001	437017.98000000004	417406.7200000002	456213.5799999998	442392.6	395836.31	458506.96000000014	438577.35000000003	460638.0599999998	409810.97	477104.31999999995	509068.5800000001	476738.9400000001	515565.91000000015	476615.7100000002	463521.9300000001	447004.69999999995	414327.19999999995	490294.26	456656.22999999986	483968.1999999997	428041.7999999998	485019.65000000026	510974.48000000016
Cocaine addiction [PATH:ko05030]	16.17	15.43	93.95	109.5	79.74	34.64	31.590000000000003	19.33	23.83	15.92	16.21	12.3	17.5	34.72	25.78	13.45	11.92	69.57	55.16	73.81	65.9	57.16	12.67	14.5	31.25	15.12	10.5	9.29	11.01	18.590000000000003	17.17	32.02	86.97	150.43	115.33	130.4	113.35	37.12	27.739999999999995	41.16	35.66	19.83	23.29	21.62	45.39
Cofactor metabolism	17360.0	8214.8	8708.92	8389.73	9631.58	7166.24	7287.04	6703.18	5300.91	7427.249999999998	10006.619999999999	7324.93	8308.18	8475.779999999999	9169.6	6085.53	5515.6	15419.63	9747.99	67512.66	15453.169999999998	59443.67	4624.96	6657.92	7886.709999999999	5834.879999999999	6258.99	8301.97	5761.92	8272.83	9096.15	9385.73	17608.629999999997	7448.79	13140.3	8013.01	9311.42	14587.84	7100.379999999999	8947.09	10457.349999999999	13122.94	13732.78	22475.700000000004	12486.9
Collecting duct acid secretion [PATH:ko04966]	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.5	0.5	0.0	0.0	0.0	0.5	0.5	0.0	0.5	0.0	0.0	0.0	0.5	1.5	0.0	1.5	0.5	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.5	0.0	0.0	0.5	0.5	0.5	0.0	1.0	0.5	0.0	0.5	0.5
Colorectal cancer [PATH:ko05210]	826.0	1809.58	1687.5	2253.0	1452.5	2290.0	1498.17	1404.0	252.5	1049.67	1670.08	848.3299999999997	1050.0	1683.0	1973.0	661.0	608.0	1287.58	1698.83	304.0	761.0	38.5	936.0	1032.0	982.0	1181.0	1770.92	985.0	995.0	757.0	336.92	107.0	276.0	321.0	428.5	296.75	455.5	361.5	543.0	489.0	202.0	434.0	313.92	590.33	367.5
Coronavirus disease - COVID-19 [PATH:ko05171]	0.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	6.0	2.0	2.0	2.0	0.0	3.0	1.0	4.0	1.0	3.0	1.0	0.0	3.0	0.0	1.0	2.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	7.0	2.0	3.0	2.0
Cushing syndrome [PATH:ko04934]	7791.75	2558.58	2077.16	3077.08	2468.0	3450.09	2449.71	2339.17	1997.58	1720.32	4327.5	2273.16	1707.92	1261.33	2844.58	1295.25	1311.4	2042.29	2251.13	10973.12	1962.98	14109.07	919.91	1311.75	2203.66	1644.5	2439.390000000001	2094.86	1639.92	1255.88	4313.75	1816.58	2479.06	1885.92	2359.83	1195.0	2264.640000000001	6665.75	2567.16	2703.75	4403.91	2359.92	2973.0	6623.83	2900.36
Cyanoamino acid metabolism [PATH:ko00460]	217393.56000000003	285060.55000000005	329946.7800000001	290919.7400000001	334526.5	299974.51	301646.91000000003	313590.15	188783.40000000002	256333.91000000003	278432.55999999994	252356.23000000004	327388.97	331666.94999999995	303940.32999999996	221240.74000000005	261131.19	265046.30999999994	369716.6	524299.5	300120.9199999999	500522.9300000002	312927.69999999995	274404.74	265076.74	291260.0200000001	209391.97000000006	281053.65	296175.57000000007	339542.05	246678.9900000001	312214.36	254999.13000000006	288121.6400000001	278769.1200000001	278312.70999999996	264982.70999999996	238904.88000000003	243545.60000000003	313245.54	261558.65000000005	259357.33000000002	234862.91999999998	219337.88999999998	299052.43999999994
Cysteine and methionine metabolism [PATH:ko00270]	966544.2000000005	1122008.9100000001	1287411.16	1102991.6499999997	1317157.1700000009	1171891.01	1253469.6300000006	1139913.6100000003	718397.0000000002	958155.4000000001	1021364.2599999995	945174.9600000004	1244057.49	1310388.5500000005	1213352.6900000002	922497.8899999999	979474.6499999999	1034711.5200000004	1366928.9999999995	1231646.9600000004	1210591.8300000003	1161052.6299999994	1155563.6	1050117.8900000001	1103715.3000000005	1083563.49	844887.9899999999	1041958.2499999999	1149054.1400000004	1267560.4499999993	934309.8900000004	1291143.0	1074407.3200000003	1096301.3400000003	1253601.7900000003	1125543.6699999995	1043489.3900000005	1013554.3199999997	922130.8300000004	1265605.7300000002	1089662.2700000005	1131355.86	1026841.4500000001	956394.01	1214518.7400000005
Cytochrome P450 [BR:ko00199]	14.0	22.6	38.95	43.5	36.24	33.67	42.09	32.66	14.83	29.92	13.21	11.97	24.5	31.55	36.78	17.45	16.09	23.83	35.66	27.67	66.94	45.16	11.0	19.5	26.58	13.79	7.67	5.96	9.68	13.26	15.17	23.35	52.83	84.92999999999999	48.0	62.76000000000001	40.54	10.66	17.240000000000002	31.16	20.33	34.33	16.619999999999997	14.95	40.39
Cytoskeleton proteins [BR:ko04812]	427938.02000000014	458772.5800000001	582381.0000000001	479104.20000000007	595665.0900000001	494587.33999999997	540704.9600000001	497859.82000000007	294037.91000000003	424200.5700000001	457611.24	390731.63	511739.2100000001	586046.27	504057.9700000001	383049.81000000006	425788.87	451940.05000000005	592214.9299999999	387930.09	551714.54	364808.8900000001	526713.7300000001	478107.72000000003	467948.05	450792.3700000002	337692.41000000003	452661.57999999996	534216.49	581709.36	392932.7300000001	537082.0700000001	453098.8100000001	434058.5100000001	529656.1100000001	436332.6100000001	422430.82000000007	412837.82	369608.6200000001	530336.48	457163.0800000001	458857.61999999994	424358.3999999999	390106.0900000002	493578.80000000005
D-Alanine metabolism [PATH:ko00473]	88885.45000000003	101686.08000000002	115904.86000000003	97304.01000000002	117018.57000000004	101330.82	106843.95	99117.28000000001	67440.01000000001	86571.47000000003	91251.71000000002	86253.97000000003	111422.25999999998	115052.26000000001	108487.93000000002	86761.42000000003	88494.22	102982.99	121938.7	112868.25000000001	117547.59	101112.93000000002	100626.19000000003	93654.9	99520.97000000003	95853.21000000002	75285.15000000004	96480.2	99711.69999999998	114534.45999999995	90123.95999999999	113060.74	97952.96000000002	98566.71000000002	112110.32000000002	100101.94000000003	95355.67000000001	105147.34999999999	85077.81000000004	113689.81	104110.42	98281.48999999999	92104.38999999998	101277.31000000003	105224.72000000002
D-Arginine and D-ornithine metabolism [PATH:ko00472]	2710.67	3995.7900000000004	4655.32	2184.5	5131.15	2324.22	3508.01	1206.49	1869.3400000000001	3229.33	1029.81	2685.34	4091.49	5439.0	3726.16	2478.99	2107.2200000000003	5683.85	2919.15	8324.45	6095.259999999998	2401.28	1921.3400000000001	2937.16	4208.48	1905.0100000000002	1967.61	2507.45	2900.34	5594.88	1066.32	5295.02	2852.66	1679.3	3594.8199999999997	3623.680000000001	2252.84	1684.83	973.6600000000002	3839.3199999999997	2188.7499999999995	2604.33	2599.34	1187.5	2381.11
D-Glutamine and D-glutamate metabolism [PATH:ko00471]	122512.51000000001	134329.86000000004	154731.01000000004	139363.22000000003	154117.70000000007	141660.62	145895.61000000004	139326.92	92564.35000000003	119853.94	131105.09999999998	120003.50000000003	141926.03999999998	151641.24000000002	139845.31000000003	111288.97000000003	126151.37	127274.81000000003	163763.05	182115.11000000004	144356.50999999998	170683.58000000005	143464.91	130883.40999999997	133819.75	129553.32000000004	110553.14000000004	137019.95	139162.78	148697.97999999992	124366.53000000001	150916.31000000003	137198.20000000007	134556.03000000006	155747.45	133827.93000000005	135126.69000000003	136540.36000000004	119074.62000000004	151456.83	139394.86	134717.83000000002	127420.21	133420.10000000003	144781.14
DNA repair and recombination proteins [BR:ko03400]	2731697.180000003	3033834.500000003	3588217.410000003	3075992.1800000044	3654524.610000001	3221497.450000005	3428768.0699999994	3239256.0800000005	2044969.140000002	2689833.7099999986	3005948.5100000002	2662319.3899999997	3359917.839999997	3595926.1599999997	3262889.5700000045	2558591.5500000003	2790367.159999997	2837406.040000002	3848734.0799999996	3333042.1399999983	3343947.100000001	3153350.0500000007	3319664.9200000013	2981901.1400000025	3014592.6300000004	2998686.700000002	2282710.3600000017	2970075.910000001	3267051.809999996	3544854.7300000004	2711333.020000003	3435505.18	2988857.2900000024	3004552.35	3412918.1100000027	2982685.310000001	2884973.8400000026	2887492.2000000016	2587946.4200000013	3462228.9300000025	3046758.5299999984	3008452.729999997	2756089.8600000013	2785218.4800000032	3282299.64
DNA replication [PATH:ko03030]	596623.6400000001	659564.7800000003	752818.6700000002	663005.4200000003	763765.2700000004	689055.9299999999	717461.6000000001	686651.4200000003	441541.9700000001	569321.0400000003	636544.9999999999	576230.6300000002	722059.7799999997	755878.8300000001	703365.4100000003	552255.6800000002	597227.6400000001	609007.0800000001	811274.48	808278.64	702676.8999999998	746208.4500000001	694472.9000000001	627326.5	643242.05	642224.7400000002	505094.6600000002	639975.3500000001	681915.4700000001	740756.6399999997	578153.6600000001	719623.5499999999	636839.6600000003	646745.7600000002	723512.6000000001	643397.9500000003	616595.3300000002	629812.4400000002	556589.74	734345.31	654295.58	639030.1200000001	584635.1699999999	606679.9400000003	699001.5500000003
DNA replication proteins [BR:ko03032]	1184447.9800000002	1326941.0800000005	1571740.7600000002	1370141.2299999997	1608959.1000000008	1421364.3299999996	1506659.7400000005	1429241.7800000005	898360.5	1178049.0800000003	1330274.0799999998	1167523.2099999997	1470603.0699999998	1609762.6999999997	1438899.1600000001	1117438.64	1221677.7200000002	1252093.0000000005	1689832.8	1543650.0500000003	1466474.68	1452176.6099999999	1475062.0200000003	1310970.9900000002	1315045.4300000002	1314933.4100000001	999159.36	1320084.8599999999	1452126.0599999998	1570671.0999999994	1172601.6699999997	1487516.2100000004	1272205.5700000003	1299664.6400000004	1461042.9	1288580.3800000008	1249643.2900000005	1214698.95	1114156.7700000003	1518549.0899999999	1309000.3	1283671.6300000004	1172120.5299999998	1143420.3000000005	1432416.8600000003
Dilated cardiomyopathy [PATH:ko05414]	5.25	10.0	17.5	20.25	5.0	23.5	10.0	12.25	5.25	2.5	13.0	22.5	2.5	8.0	7.5	4.5	19.5	31.75	8.5	356.0	3.25	167.5	6.5	7.0	9.75	4.5	31.5	14.75	3.0	3.5	16.0	16.0	8.75	13.25	10.5	11.75	6.5	11.5	25.0	9.5	14.25	10.25	16.5	5.25	15.25
Dioxin degradation [PATH:ko00621]	11037.98	5099.4	8403.98	6450.96	7876.639999999999	6577.82	6942.61	3329.81	2001.8300000000004	3921.8899999999994	3915.63	4940.97	4556.01	6308.3099999999995	6575.3099999999995	4425.969999999999	4120.639999999999	7554.450000000001	7194.619999999999	4200.82	9079.890000000001	2276.13	3760.6299999999997	3827.67	3829.5300000000007	4129.799999999999	6064.44	6821.4400000000005	10823.31	5133.490000000001	5643.32	22180.670000000006	7719.93	5887.139999999999	11342.810000000001	10500.619999999999	9332.25	9169.59	3791.14	12769.83	8105.09	19643.489999999998	19623.019999999997	13389.31	11552.77
Domain-containing proteins not elsewhere classified [BR:ko04990]	5.25	10.0	17.5	20.25	5.0	23.5	10.0	12.25	5.25	2.5	13.0	22.5	2.5	8.0	8.5	4.5	20.5	31.75	8.5	357.0	3.25	170.5	6.5	7.0	10.75	12.5	31.5	14.75	6.0	3.5	16.0	16.0	8.75	13.25	10.5	11.75	6.5	11.5	25.0	9.5	15.25	10.25	16.5	5.25	15.25
Dopaminergic synapse [PATH:ko04728]	16.17	15.43	93.95	109.5	79.74	34.64	31.590000000000003	19.33	23.83	15.92	16.21	12.3	17.5	34.72	25.78	13.45	11.92	69.57	55.16	73.81	65.9	57.16	12.67	14.5	31.25	15.12	10.5	9.29	11.01	18.590000000000003	17.17	32.02	86.97	150.43	115.33	130.4	113.35	37.12	27.739999999999995	41.16	35.66	19.83	23.29	21.62	45.39
Drug metabolism - cytochrome P450 [PATH:ko00982]	5338.3	4587.7	5709.38	6530.6	4163.44	5104.830000000001	3753.17	6197.38	7281.45	6984.03	7523.0	5451.27	5585.6900000000005	4734.29	6284.249999999999	7478.679999999999	5634.03	12821.759999999998	8519.91	48559.84000000001	12321.53	54253.9	5098.55	5534.87	5320.72	6498.61	6723.2699999999995	8108.84	4161.4800000000005	3477.55	8880.369999999999	7458.2	5396.820000000001	6342.1	5890.549999999999	5785.06	7312.43	11357.37	8996.33	5863.05	7203.0	10531.69	11930.660000000002	13401.900000000001	8170.84
Drug metabolism - other enzymes [PATH:ko00983]	296652.68000000005	378082.9800000001	406215.38000000006	361930.69000000006	407613.5600000002	377002.48	379453.06000000006	364702.52000000014	233060.5800000001	309302.45000000007	321287.99000000005	326738.1600000001	415637.57000000007	404467.64000000013	394584.1200000001	302582.7500000001	325611.69	340682.03	440731.81999999995	520533.61	380180.3499999999	501192.0600000001	362482.2900000001	334050.4	356450.88000000006	361018.8200000001	285004.73	347990.77	353827.23999999993	399600.28999999986	308901.06999999995	393048.01999999996	344506.9100000001	373815.98000000004	379597.8800000001	367953.38000000006	338029.18000000017	337981.62999999995	308337.8500000001	402056.69000000006	350944.54	348758.05	317205.38	326865.34000000014	386511.82000000007
ECM-receptor interaction [PATH:ko04512]	5.0	16.0	8.0	5.0	2.0	3.0	11.0	6.0	4.0	15.0	1.0	4.0	13.0	5.0	5.0	7.0	9.0	3.0	5.0	14.0	12.0	5.0	16.0	34.0	20.0	7.0	6.0	29.0	11.0	16.0	18.0	7.0	3.0	7.0	11.0	9.0	6.0	1.0	109.0	13.0	2.0	2.0	11.0	52.0	40.0
Endocytosis [PATH:ko04144]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Energy metabolism	230675.52000000005	236551.64000000013	273174.71	231484.31999999977	283350.72000000003	244915.08000000005	270422.6500000001	246683.32000000018	148083.1700000001	209230.05999999994	238977.3500000001	197339.75000000015	257854.0000000003	282755.7399999999	258320.89999999982	186587.86999999988	211063.74	209259.59000000014	294776.84999999986	364760.0600000001	249829.64999999994	386264.77999999985	254401.27999999982	233930.24	243918.87000000002	235705.04000000012	174990.76999999993	220686.78999999995	248580.4800000001	268350.2899999999	195092.96000000008	286400.33999999985	222106.1700000001	220423.31000000017	252518.0199999998	225016.5600000002	219720.97000000006	205474.80000000008	193327.56999999983	258934.65000000005	227312.40000000002	282347.8200000002	246687.6199999999	218653.08000000013	269610.58
Enzymes with EC numbers	2146248.72	2536678.2900000005	2832858.3600000036	2391447.090000002	2868027.840000002	2573550.3900000025	2712629.27	2519888.300000002	1508918.6900000009	2070625.1399999992	2231451.6499999994	2114297.7599999993	2882805.0899999966	2818761.8000000007	2745917.150000003	2049778.4400000025	2098794.1999999997	2286278.3000000003	3095572.0200000033	4053859.6100000003	2621911.520000003	3898165.390000001	2433821.070000001	2221327.0300000017	2393470.67	2465368.5700000017	1761601.3300000024	2203019.670000001	2493187.199999999	2779419.079999998	1969872.5200000028	2886881.5800000005	2245110.0100000007	2455428.2100000023	2560213.100000003	2524753.710000004	2202251.509999998	2177973.550000001	1954620.2099999995	2750435.0500000007	2284848.9499999997	2549403.0399999972	2274866.0300000003	2161142.3200000008	2667402.139999998
Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	75189.70000000003	84238.55000000002	99160.43000000002	85641.18000000001	100865.09000000003	87514.83	94384.68	89838.79000000002	60233.34000000001	76641.89000000003	83029.11	75552.50000000001	92302.43999999997	100567.88000000002	89077.91000000002	73823.40000000001	80504.04999999999	79219.38000000002	105572.84	96582.34000000001	93788.25999999998	91905.11000000003	93481.52000000002	85651.32999999999	86800.42000000001	83499.99000000003	66110.07	84937.15000000001	91367.93000000001	97864.69999999997	73884.72000000002	96078.46	87115.72000000002	86036.81000000003	105081.59000000003	88733.66000000003	83964.95000000003	74608.10000000003	74258.58	95715.66	82933.3	86426.98999999999	77172.09	72313.19000000003	92185.34000000003
Epstein-Barr virus infection [PATH:ko05169]	826.0	1809.58	1687.5	2253.0	1452.5	2290.0	1498.17	1404.0	252.5	1049.67	1670.08	848.3299999999997	1050.0	1683.0	1973.0	661.0	608.0	1287.58	1698.83	304.0	761.0	38.5	936.0	1032.0	982.0	1181.0	1770.92	985.0	995.0	757.0	336.92	107.0	276.0	321.0	428.5	296.75	455.5	361.5	543.0	489.0	202.0	434.0	313.92	590.33	367.5
Estrogen signaling pathway [PATH:ko04915]	39761.5	42611.13000000001	49518.57000000001	44411.06000000003	50560.16000000002	45541.03999999999	47958.38000000001	45233.92000000001	30026.870000000014	37985.580000000016	42646.51	37973.360000000015	45744.75999999999	50004.81000000001	44908.87000000001	36693.62000000002	39794.34	38038.56000000001	52139.9	60050.77000000001	44176.8	53303.70000000001	46420.13000000001	42221.540000000015	42826.43	41480.930000000015	34031.09	41843.77	45773.54	48811.66999999997	36861.35000000001	47629.64	43069.38000000001	42152.52000000001	48354.11000000002	41777.33	41614.640000000014	36917.67000000001	36545.5	47732.11000000002	41204.62999999998	42925.5	38415.96	36550.76000000002	46120.76000000001
Ether lipid metabolism [PATH:ko00565]	1365.38	2658.88	1132.6999999999998	1226.37	511.45	1124.16	793.38	1674.54	3742.38	3454.52	2268.88	3912.98	2434.34	956.1700000000003	1708.0699999999993	2149.07	3809.68	2387.25	1395.84	8878.17	1699.4099999999999	13176.5	2234.41	2525.54	2966.99	3038.8199999999997	4144.530000000001	3316.62	1122.3	1434.37	3789.87	1727.87	2121.02	3078.16	1920.66	3352.12	3186.6	3641.33	4912.28	2055.63	2981.97	1819.92	3098.95	3034.2	2177.84
Ethylbenzene degradation [PATH:ko00642]	817.0	1727.28	1700.32	2525.66	1565.0	2629.24	1914.58	1066.34	256.66	1195.8000000000004	766.34	1086.66	924.34	751.66	1605.66	486.00000000000006	454.52	1389.5800000000006	1367.94	7706.02	1272.24	11677.42	770.3199999999997	1216.0	2106.32	788.0	1888.72	1154.66	475.34	994.48	1771.66	714.66	746.62	745.84	548.66	521.0	1035.28	941.0	1086.32	1224.0	1144.6	1188.34	838.66	713.0	1649.0
Exosome [BR:ko04147]	1304089.3400000005	1449107.1300000004	1687875.8399999999	1481041.3200000003	1704992.010000001	1532100.6499999994	1624731.7100000007	1503358.220000001	992631.8300000002	1280059.3400000003	1405831.9700000002	1275127.9000000001	1581255.99	1672335.8300000008	1544815.2300000007	1230108.9000000001	1308056.0000000002	1375327.5500000005	1799689.9600000002	2004342.66	1560645.0799999996	1864145.1099999994	1523362.0900000003	1385481.65	1439014.8500000008	1400153.7500000002	1124537.32	1410459.91	1498214.6199999999	1650241.7999999989	1266101.4600000002	1616412.72	1427669.7500000005	1428860.6300000008	1584336.760000001	1423698.9700000002	1384715.9900000002	1334031.710000001	1232928.5900000003	1614393.1400000001	1417838.7	1417103.7	1295378.1	1306346.0000000007	1541389.3400000003
Fat digestion and absorption [PATH:ko04975]	37231.56000000001	37304.720000000016	48030.29000000001	38152.13000000001	52924.48000000001	40546.45	52818.62	36214.390000000014	23351.08	34317.14	36837.06000000001	29231.960000000014	37586.25	53585.83	40292.47	25728.790000000008	32553.51	37496.29	45583.8	17924.730000000003	46551.53999999999	7140.44	43737.73	39014.83	42641.43	30119.380000000016	25357.75000000001	33585.900000000016	42015.41	50836.169999999984	31099.23000000001	41451.77	36690.87000000002	28282.12000000001	41620.890000000014	31409.810000000016	30969.630000000005	31504.310000000005	27038.06	39839.070000000014	36244.21	32405.15	28584.75	27999.39000000001	37892.42000000001
