variable	group	value
aliphatic_non_methane_hydrocarbon_degradation	M32	0
aliphatic_non_methane_hydrocarbon_degradation	M33	0
aliphatic_non_methane_hydrocarbon_degradation	M34	0
aliphatic_non_methane_hydrocarbon_degradation	M35	0
aliphatic_non_methane_hydrocarbon_degradation	M54	0
aliphatic_non_methane_hydrocarbon_degradation	M55	0
aliphatic_non_methane_hydrocarbon_degradation	M56	0
aliphatic_non_methane_hydrocarbon_degradation	M57	0
aliphatic_non_methane_hydrocarbon_degradation	M58	1
aliphatic_non_methane_hydrocarbon_degradation	M59	0
aliphatic_non_methane_hydrocarbon_degradation	N12	0
aliphatic_non_methane_hydrocarbon_degradation	N13	3
aliphatic_non_methane_hydrocarbon_degradation	N15	15
aliphatic_non_methane_hydrocarbon_degradation	N16	2
aliphatic_non_methane_hydrocarbon_degradation	N17	1
aliphatic_non_methane_hydrocarbon_degradation	N51	0
aliphatic_non_methane_hydrocarbon_degradation	N52	3
aliphatic_non_methane_hydrocarbon_degradation	N53	6
aliphatic_non_methane_hydrocarbon_degradation	N86	1
aliphatic_non_methane_hydrocarbon_degradation	N87	1
aliphatic_non_methane_hydrocarbon_degradation	N88	0
aliphatic_non_methane_hydrocarbon_degradation	N90	0
hydrocarbon_degradation	H60	0
hydrocarbon_degradation	H61	0
hydrocarbon_degradation	H62	0
hydrocarbon_degradation	H63	0
hydrocarbon_degradation	H64	0
hydrocarbon_degradation	H66	0
hydrocarbon_degradation	H67	0
hydrocarbon_degradation	H68	0
hydrocarbon_degradation	H79	0
hydrocarbon_degradation	H94	0
hydrocarbon_degradation	H95	0
hydrocarbon_degradation	H96	0
hydrocarbon_degradation	L36	0
hydrocarbon_degradation	L37	0
hydrocarbon_degradation	L38	0
hydrocarbon_degradation	L39	0
hydrocarbon_degradation	L70	0
hydrocarbon_degradation	L73	0
hydrocarbon_degradation	L76	0
hydrocarbon_degradation	L77	0
hydrocarbon_degradation	L91	0
hydrocarbon_degradation	L92	0
hydrocarbon_degradation	L93	0
hydrocarbon_degradation	M30	0
hydrocarbon_degradation	M31	0
hydrocarbon_degradation	M32	0
hydrocarbon_degradation	M33	0
hydrocarbon_degradation	M34	0
hydrocarbon_degradation	M35	0
hydrocarbon_degradation	M54	0
hydrocarbon_degradation	M55	0
hydrocarbon_degradation	M56	0
hydrocarbon_degradation	M57	0
hydrocarbon_degradation	M58	1
hydrocarbon_degradation	M59	0
hydrocarbon_degradation	N12	0
hydrocarbon_degradation	N13	3
hydrocarbon_degradation	N15	15
hydrocarbon_degradation	N16	2
hydrocarbon_degradation	N17	1
hydrocarbon_degradation	N51	0
hydrocarbon_degradation	N52	3
hydrocarbon_degradation	N53	6
hydrocarbon_degradation	N86	1
hydrocarbon_degradation	N87	1
hydrocarbon_degradation	N88	0
hydrocarbon_degradation	N90	0
iron_respiration	H60	6
iron_respiration	H61	9
iron_respiration	H62	8
iron_respiration	H63	1
iron_respiration	H64	1
iron_respiration	H66	0
iron_respiration	H67	1
iron_respiration	H68	1
iron_respiration	H79	4
iron_respiration	H94	1
iron_respiration	H95	22
iron_respiration	H96	18
iron_respiration	L36	6
iron_respiration	L37	22
iron_respiration	L38	12
iron_respiration	L39	1
iron_respiration	L70	14
iron_respiration	L73	1
iron_respiration	L76	0
iron_respiration	L77	1
iron_respiration	L91	55
iron_respiration	L92	0
iron_respiration	L93	0
iron_respiration	M30	3
iron_respiration	M31	0
iron_respiration	M32	6
iron_respiration	M33	9
iron_respiration	M34	18
iron_respiration	M35	1
iron_respiration	M54	0
iron_respiration	M55	0
iron_respiration	M56	0
iron_respiration	M57	59
iron_respiration	M58	0
iron_respiration	M59	24
iron_respiration	N12	2
iron_respiration	N13	6
iron_respiration	N15	2
iron_respiration	N16	1
iron_respiration	N17	14
iron_respiration	N51	12
iron_respiration	N52	0
iron_respiration	N53	4
iron_respiration	N86	1
iron_respiration	N87	8
iron_respiration	N88	12
iron_respiration	N90	1
nitrate_respiration	H60	94
nitrate_respiration	H61	33
nitrate_respiration	H62	13
nitrate_respiration	H63	81
nitrate_respiration	H64	92
nitrate_respiration	H66	20
nitrate_respiration	H67	32
nitrate_respiration	H68	58
nitrate_respiration	H79	61
nitrate_respiration	H94	53
nitrate_respiration	H95	23
nitrate_respiration	H96	32
nitrate_respiration	L36	24
nitrate_respiration	L37	44
nitrate_respiration	L38	29
nitrate_respiration	L39	63
nitrate_respiration	L70	33
nitrate_respiration	L73	21
nitrate_respiration	L76	47
nitrate_respiration	L77	20
nitrate_respiration	L91	52
nitrate_respiration	L92	7
nitrate_respiration	L93	19
nitrate_respiration	M30	46
nitrate_respiration	M31	48
nitrate_respiration	M32	67
nitrate_respiration	M33	26
nitrate_respiration	M34	21
nitrate_respiration	M35	8
nitrate_respiration	M54	102
nitrate_respiration	M55	157
nitrate_respiration	M56	182
nitrate_respiration	M57	89
nitrate_respiration	M58	92
nitrate_respiration	M59	68
nitrate_respiration	N12	11
nitrate_respiration	N13	7
nitrate_respiration	N15	5
nitrate_respiration	N16	0
nitrate_respiration	N17	3
nitrate_respiration	N51	1
nitrate_respiration	N52	4
nitrate_respiration	N53	0
nitrate_respiration	N86	10
nitrate_respiration	N87	2
nitrate_respiration	N88	9
nitrate_respiration	N90	6
nitrate_reduction	H60	101
nitrate_reduction	H61	63
nitrate_reduction	H62	34
nitrate_reduction	H63	108
nitrate_reduction	H64	124
nitrate_reduction	H66	78
nitrate_reduction	H67	42
nitrate_reduction	H68	62
nitrate_reduction	H79	78
nitrate_reduction	H94	67
nitrate_reduction	H95	43
nitrate_reduction	H96	55
nitrate_reduction	L36	56
nitrate_reduction	L37	80
nitrate_reduction	L38	93
nitrate_reduction	L39	139
nitrate_reduction	L70	124
nitrate_reduction	L73	137
nitrate_reduction	L76	121
nitrate_reduction	L77	148
nitrate_reduction	L91	127
nitrate_reduction	L92	100
nitrate_reduction	L93	48
nitrate_reduction	M30	70
nitrate_reduction	M31	74
nitrate_reduction	M32	104
nitrate_reduction	M33	47
nitrate_reduction	M34	63
nitrate_reduction	M35	41
nitrate_reduction	M54	129
nitrate_reduction	M55	182
nitrate_reduction	M56	219
nitrate_reduction	M57	125
nitrate_reduction	M58	142
nitrate_reduction	M59	110
nitrate_reduction	N12	66
nitrate_reduction	N13	64
nitrate_reduction	N15	68
nitrate_reduction	N16	14
nitrate_reduction	N17	29
nitrate_reduction	N51	19
nitrate_reduction	N52	23
nitrate_reduction	N53	17
nitrate_reduction	N86	28
nitrate_reduction	N87	16
nitrate_reduction	N88	47
nitrate_reduction	N90	16
nitrogen_respiration	H60	95
nitrogen_respiration	H61	33
nitrogen_respiration	H62	14
nitrogen_respiration	H63	81
nitrogen_respiration	H64	93
nitrogen_respiration	H66	20
nitrogen_respiration	H67	32
nitrogen_respiration	H68	58
nitrogen_respiration	H79	61
nitrogen_respiration	H94	54
nitrogen_respiration	H95	23
nitrogen_respiration	H96	32
nitrogen_respiration	L36	26
nitrogen_respiration	L37	45
nitrogen_respiration	L38	29
nitrogen_respiration	L39	65
nitrogen_respiration	L70	33
nitrogen_respiration	L73	21
nitrogen_respiration	L76	47
nitrogen_respiration	L77	20
nitrogen_respiration	L91	53
nitrogen_respiration	L92	7
nitrogen_respiration	L93	21
nitrogen_respiration	M30	46
nitrogen_respiration	M31	48
nitrogen_respiration	M32	67
nitrogen_respiration	M33	26
nitrogen_respiration	M34	22
nitrogen_respiration	M35	8
nitrogen_respiration	M54	104
nitrogen_respiration	M55	157
nitrogen_respiration	M56	182
nitrogen_respiration	M57	89
nitrogen_respiration	M58	92
nitrogen_respiration	M59	68
nitrogen_respiration	N12	13
nitrogen_respiration	N13	7
nitrogen_respiration	N15	5
nitrogen_respiration	N16	0
nitrogen_respiration	N17	3
nitrogen_respiration	N51	1
nitrogen_respiration	N52	4
nitrogen_respiration	N53	0
nitrogen_respiration	N86	11
nitrogen_respiration	N87	2
nitrogen_respiration	N88	10
nitrogen_respiration	N90	6
predatory_or_exoparasitic	H60	1
predatory_or_exoparasitic	H61	0
predatory_or_exoparasitic	H62	0
predatory_or_exoparasitic	H63	8
predatory_or_exoparasitic	H64	0
predatory_or_exoparasitic	H66	0
predatory_or_exoparasitic	H67	0
predatory_or_exoparasitic	H68	0
predatory_or_exoparasitic	H79	1
predatory_or_exoparasitic	H94	0
predatory_or_exoparasitic	H95	0
predatory_or_exoparasitic	H96	6
predatory_or_exoparasitic	L36	0
predatory_or_exoparasitic	L37	0
predatory_or_exoparasitic	L38	0
predatory_or_exoparasitic	L39	0
predatory_or_exoparasitic	L70	0
predatory_or_exoparasitic	L73	0
predatory_or_exoparasitic	L76	0
predatory_or_exoparasitic	L77	5
predatory_or_exoparasitic	L91	0
predatory_or_exoparasitic	L92	0
predatory_or_exoparasitic	L93	0
predatory_or_exoparasitic	M30	0
predatory_or_exoparasitic	M31	0
predatory_or_exoparasitic	M32	0
predatory_or_exoparasitic	M33	0
predatory_or_exoparasitic	M34	5
predatory_or_exoparasitic	M35	0
predatory_or_exoparasitic	M54	0
predatory_or_exoparasitic	M55	0
predatory_or_exoparasitic	M56	0
predatory_or_exoparasitic	M57	1
predatory_or_exoparasitic	M58	0
predatory_or_exoparasitic	M59	0
predatory_or_exoparasitic	N12	3
predatory_or_exoparasitic	N13	2
predatory_or_exoparasitic	N15	4
predatory_or_exoparasitic	N16	21
predatory_or_exoparasitic	N17	7
predatory_or_exoparasitic	N51	1
predatory_or_exoparasitic	N52	7
predatory_or_exoparasitic	N53	7
predatory_or_exoparasitic	N86	2
predatory_or_exoparasitic	N87	0
predatory_or_exoparasitic	N88	6
predatory_or_exoparasitic	N90	2
ureolysis	H60	0
ureolysis	H61	2
ureolysis	H62	0
ureolysis	H63	1
ureolysis	H64	2
ureolysis	H66	0
ureolysis	H67	0
ureolysis	H68	0
ureolysis	H79	0
ureolysis	H94	0
ureolysis	H95	0
ureolysis	H96	0
ureolysis	L36	0
ureolysis	L37	0
ureolysis	L38	9
ureolysis	L39	4
ureolysis	L70	6
ureolysis	L73	16
ureolysis	L76	4
ureolysis	L77	11
ureolysis	L91	5
ureolysis	L92	4
ureolysis	L93	0
ureolysis	M30	0
ureolysis	M31	0
ureolysis	M32	0
ureolysis	M33	0
ureolysis	M34	0
ureolysis	M35	0
ureolysis	M54	0
ureolysis	M55	0
ureolysis	M56	0
ureolysis	M57	0
ureolysis	M58	0
ureolysis	M59	0
ureolysis	N12	0
ureolysis	N13	0
ureolysis	N15	0
ureolysis	N16	0
ureolysis	N17	0
ureolysis	N51	0
ureolysis	N52	0
ureolysis	N53	0
ureolysis	N86	0
ureolysis	N87	0
ureolysis	N88	0
ureolysis	N90	0
reductive_acetogenesis	H60	0
reductive_acetogenesis	H61	0
reductive_acetogenesis	H62	0
reductive_acetogenesis	H63	0
reductive_acetogenesis	H64	0
reductive_acetogenesis	H66	0
reductive_acetogenesis	H67	5
reductive_acetogenesis	H68	0
reductive_acetogenesis	H79	2
reductive_acetogenesis	H94	0
reductive_acetogenesis	H95	0
reductive_acetogenesis	H96	0
reductive_acetogenesis	L36	0
reductive_acetogenesis	L37	0
reductive_acetogenesis	L38	0
reductive_acetogenesis	L39	0
reductive_acetogenesis	L70	0
reductive_acetogenesis	L73	0
reductive_acetogenesis	L76	0
reductive_acetogenesis	L77	0
reductive_acetogenesis	L91	0
reductive_acetogenesis	L92	0
reductive_acetogenesis	L93	0
reductive_acetogenesis	M30	0
reductive_acetogenesis	M31	0
reductive_acetogenesis	M32	0
reductive_acetogenesis	M33	0
reductive_acetogenesis	M34	0
reductive_acetogenesis	M35	0
reductive_acetogenesis	M54	0
reductive_acetogenesis	M55	0
reductive_acetogenesis	M56	1
reductive_acetogenesis	M57	0
reductive_acetogenesis	M58	0
reductive_acetogenesis	M59	0
reductive_acetogenesis	N12	0
reductive_acetogenesis	N13	0
reductive_acetogenesis	N15	0
reductive_acetogenesis	N16	1
reductive_acetogenesis	N17	2
reductive_acetogenesis	N51	0
reductive_acetogenesis	N52	0
reductive_acetogenesis	N53	1
reductive_acetogenesis	N86	8
reductive_acetogenesis	N87	1
reductive_acetogenesis	N88	0
reductive_acetogenesis	N90	5
chemoheterotrophy	H60	737
chemoheterotrophy	H61	1538
chemoheterotrophy	H62	3396
chemoheterotrophy	H63	1111
chemoheterotrophy	H64	1024
chemoheterotrophy	H66	1909
chemoheterotrophy	H67	1092
chemoheterotrophy	H68	984
chemoheterotrophy	H79	960
chemoheterotrophy	H94	798
chemoheterotrophy	H95	1673
chemoheterotrophy	H96	1874
chemoheterotrophy	L36	2332
chemoheterotrophy	L37	935
chemoheterotrophy	L38	1781
chemoheterotrophy	L39	1574
chemoheterotrophy	L70	2516
chemoheterotrophy	L73	2016
chemoheterotrophy	L76	1054
chemoheterotrophy	L77	1605
chemoheterotrophy	L91	2186
chemoheterotrophy	L92	1587
chemoheterotrophy	L93	1587
chemoheterotrophy	M30	1550
chemoheterotrophy	M31	1443
chemoheterotrophy	M32	2349
chemoheterotrophy	M33	3377
chemoheterotrophy	M34	4513
chemoheterotrophy	M35	1141
chemoheterotrophy	M54	811
chemoheterotrophy	M55	724
chemoheterotrophy	M56	459
chemoheterotrophy	M57	1108
chemoheterotrophy	M58	933
chemoheterotrophy	M59	1704
chemoheterotrophy	N12	4642
chemoheterotrophy	N13	5019
chemoheterotrophy	N15	2137
chemoheterotrophy	N16	2249
chemoheterotrophy	N17	1278
chemoheterotrophy	N51	596
chemoheterotrophy	N52	1019
chemoheterotrophy	N53	1901
chemoheterotrophy	N86	1618
chemoheterotrophy	N87	562
chemoheterotrophy	N88	910
chemoheterotrophy	N90	3187
