function	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
K02280	cpaC, rcpA; pilus assembly protein CpaC	44.0	86.7	155.4	116.6	80.2	130.8	37.8	27.0	24.9	47.0	68.4	60.8	58.2	66.8	44.7	76.0	46.1	84.7	64.6	101.8	45.6	51.8	56.9	43.0	31.9	53.7	67.8	84.0	36.6	36.6	28.3	28.0	16.0	40.5	37.6	77.1	76.4	70.0	52.4	26.5	10.5	48.5	45.8	38.8	27.0	42.6	57.9
K02281	cpaD; pilus assembly protein CpaD	32.5	61.0	78.0	37.0	56.0	80.5	24.0	16.0	13.5	33.0	42.0	18.0	22.0	43.5	24.5	30.0	14.5	39.0	27.0	15.0	17.0	25.5	27.5	12.0	9.5	36.0	23.0	13.0	16.0	22.0	10.5	14.0	10.0	27.0	20.0	17.0	15.0	39.5	30.0	13.5	5.5	31.0	18.0	6.0	12.0	26.5	28.5
K02282	cpaE, tadZ; pilus assembly protein CpaE	75.5	122.7	199.9	141.6	167.7	188.8	62.8	87.0	38.4	54.5	119.9	100.3	104.7	160.8	130.7	345.0	53.1	90.2	79.6	114.8	81.1	61.3	90.4	81.0	42.9	85.2	88.3	130.5	94.6	50.6	43.3	53.0	24.5	60.0	48.6	111.1	160.9	236.0	214.4	65.5	37.5	138.5	132.8	86.3	61.0	90.1	143.4
K02283	cpaF, tadA; pilus assembly protein CpaF	49932.63000000003	33039.750000000015	27266.77000000001	41046.080000000016	42935.53000000001	25868.990000000005	39967.74	39452.55000000002	36682.35000000001	44708.62	22309.02	35566.59000000001	29270.980000000003	39385.86000000004	35797.44000000002	34358.09	28066.969999999994	22379.0	39875.210000000014	24575.8	40719.10000000001	33566.14	28174.51	35405.469999999994	48324.86	32874.8	26416.23	21798.31	31062.02	52053.11000000002	50866.51000000003	49958.87000000001	50978.28	43076.27	39410.78000000001	34187.39	31549.92	36155.16	26744.16	27710.579999999994	55129.83000000001	35649.759999999995	19331.01	46851.76000000001	57813.61000000001	51948.03999999999	35338.26000000002
K02291	crtB; 15-cis-phytoene synthase [EC:2.5.1.32]	173.17000000000004	882.33	3687.83	253.34	150.82999999999996	245.0	124.0	145.32999999999996	174.32999999999996	112.5	246.0	1898.33	889.33	177.17000000000004	1187.17	234.83	2424.67	162.17000000000004	171.0	247.83	2094.5	127.5	163.67000000000004	1354.17	1551.17	1722.83	3940.17	5853.0	131.5	87.33	96.17	111.83	818.5	119.33	1480.5	2856.33	2859.0	1406.17	413.0	151.82999999999996	66.5	213.33	775.33	678.33	84.5	190.17	1730.33
K02297	cyoA; cytochrome o ubiquinol oxidase subunit II [EC:1.10.3.10]	50.88	78.77	192.36	107.6	51.09	93.67000000000002	60.60999999999999	106.76	50.09	61.92	140.76	128.91	54.38	69.38000000000001	108.32	175.92	108.14	132.20999999999998	207.45	227.25000000000003	95.53	122.93	101.75	139.77	72.05	102.44	201.39	186.79	88.28999999999998	57.57000000000001	56.16999999999999	89.56000000000002	64.44999999999999	83.39	162.54999999999995	139.14999999999998	87.33000000000001	94.54000000000002	56.24	82.55000000000003	46.1	65.74	95.87	70.29999999999998	24.94	44.37000000000001	97.2
K02298	cyoB; cytochrome o ubiquinol oxidase subunit I [EC:1.10.3.10]	50.88	79.77	192.53	107.6	51.42	93.67000000000002	60.78	106.76	50.09	62.92	140.76	129.75	55.05	69.71000000000001	113.82	185.25	115.14	143.38000000000005	213.78000000000003	232.42	101.53	130.93	101.75	139.77	72.05	104.44	201.39	186.96	88.28999999999998	58.23	56.49999999999999	89.56000000000002	64.44999999999999	84.56	162.88	139.48	87.33000000000001	95.04000000000002	60.91	86.22000000000001	49.1	71.91	98.04	74.97	27.110000000000007	46.71000000000001	97.2
K02299	cyoC; cytochrome o ubiquinol oxidase subunit III	59.38	86.77	204.53	112.6	67.42	101.24	67.77999999999999	115.33000000000004	55.34	63.92	145.76	133.75	59.05	75.25	117.82	197.75	115.64	144.38000000000005	214.78000000000003	235.42	104.67	133.97	110.14000000000004	152.38	81.05	111.44	206.39000000000004	204.96	100.29	63.62000000000001	59.49999999999999	97.1	65.69999999999999	84.56	163.88	140.48	90.83	96.18	62.91	90.76	49.24	72.05	98.29	76.97	31.110000000000007	48.71000000000001	99.2
K02300	cyoD; cytochrome o ubiquinol oxidase subunit IV	50.88	79.77	192.53	107.6	51.42	93.67000000000002	60.78	106.76	50.09	62.92	140.76	129.75	55.05	69.71000000000001	113.82	185.25	115.14	143.38000000000005	213.78000000000003	232.42	101.53	130.93	101.75	139.77	72.05	104.44	201.39	186.96	88.28999999999998	58.23	56.49999999999999	89.56000000000002	64.44999999999999	84.56	162.88	139.48	87.33000000000001	95.04000000000002	60.91	86.22000000000001	49.1	71.91	98.04	74.97	27.110000000000007	46.71000000000001	97.2
K02302	cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	2632.27	3113.5399999999995	6926.6399999999985	1673.0399999999993	8017.68	2033.34	4358.06	5213.52	1884.68	3074.09	2488.1900000000005	4290.0	5375.09	7097.93	7156.149999999999	3736.0	5576.609999999999	2468.2500000000005	6155.57	2050.68	10712.980000000003	5695.52	3287.42	6121.950000000002	5108.689999999999	3794.22	5248.11	2403.7500000000005	3745.91	4202.800000000001	3700.679999999999	2342.62	5125.980000000001	4595.450000000002	4100.43	2100.71	1046.1599999999996	2451.59	2068.82	3561.1800000000007	3663.12	2438.32	2093.08	1919.94	3216.72	2862.26	2038.73
K02303	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	279.33	213.9	306.3	186.53	229.4	224.1	315.42999999999995	574.0	259.3	217.5	320.8	243.6	318.4	313.92999999999995	119.73	176.0	149.37	179.4	167.03	173.43	199.2	114.27	155.8	172.82999999999996	361.13	153.9	244.77	187.5	101.7	278.53	227.1	129.0	208.67	102.0	215.2	121.2	97.8	111.83	279.13	252.0	199.83	251.0	209.6	177.42999999999995	175.0	301.53	317.3
K02304	MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	32866.78000000001	21648.97000000001	17052.339999999997	27738.490000000005	25877.35000000001	17421.05	26061.15	25212.63000000001	25471.69000000001	28845.04	15594.75	25007.98000000001	18904.439999999995	26599.78000000001	24123.67	23671.93	20583.18	16625.78	28382.93	18697.93	23826.80000000001	22500.25	21881.92	22843.289999999994	27531.05	21285.22	17162.58	14311.62	22177.570000000003	31166.080000000005	30542.360000000015	31366.02000000001	30017.47	25453.13	21963.78	25699.19	24857.55000000001	24743.78	20082.0	19013.82	33912.84	23652.59	13341.58	29594.540000000005	36880.66	33097.679999999986	25034.480000000003
K02305	norC; nitric oxide reductase subunit C	16.0	0.2	1.4	7.6	2.2	2.8	0.8	1.0	10.4	0.0	1.4	4.8	4.2	0.8	1.2	0.0	15.6	1.2	1.6	10.8	1.6	1.8	1.4	0.0	23.4	0.2	4.8	5.0	2.6	1.6	2.8	2.0	13.0	0.0	1.6	12.6	4.4	1.0	1.4	1.0	11.0	0.0	0.8	2.8	2.0	0.6	1.4
K02313	dnaA; chromosomal replication initiator protein	39325.32000000003	29754.529999999995	27819.62000000001	35267.52000000001	34388.95000000002	31311.630000000005	36509.28000000001	35355.57000000001	33599.45000000001	35567.07	25478.78000000001	34155.56000000001	30183.579999999984	36370.62000000002	34699.57000000001	34583.17000000001	30211.85	24269.53999999999	34869.25	27907.720000000005	34156.98000000002	31460.99	30218.400000000016	31927.09	35581.570000000014	31249.76000000001	28497.390000000014	26227.59000000001	30723.770000000004	37698.820000000014	37743.180000000015	38659.09000000002	37907.35000000001	34135.750000000015	29887.78000000001	33231.03000000001	32407.380000000016	34121.74000000001	31754.54	26691.249999999985	40991.49	33719.77	19995.6	34078.4	42825.19000000002	38676.929999999986	31627.060000000016
K02314	dnaB; replicative DNA helicase [EC:3.6.4.12]	39855.650000000016	30553.61	28729.540000000008	35991.970000000016	35150.36000000002	31870.06	37299.580000000016	36079.55000000002	34321.01000000002	36093.75	26161.10000000001	34524.06000000003	31913.149999999987	36775.05000000002	35100.550000000025	34961.84000000001	30631.81000000001	25875.65999999999	35755.490000000005	28946.68000000001	34903.37000000002	32542.810000000016	31456.210000000006	32714.51	35981.56	33896.60000000001	29033.85000000002	26531.020000000026	31276.800000000007	38155.07000000002	38152.71000000002	38928.53000000001	38639.98999999998	34903.28000000001	30408.170000000016	33427.93	32579.670000000016	33227.29	30034.2	24710.61999999999	40479.59	30022.61	18944.590000000004	34292.96000000001	42988.30000000002	38831.63	32004.730000000003
K02315	dnaC; DNA replication protein DnaC	93864.17000000004	58279.13	39367.39	76273.25	66339.86000000003	57210.92000000001	73054.96	72106.89000000001	74980.53	82352.73000000001	41778.7	58452.080000000016	45678.58999999999	73050.38000000003	65439.19000000003	56386.71000000003	56395.95000000002	40347.58999999998	79679.75000000001	50716.62000000002	64848.76000000002	57529.51000000002	54359.18000000002	56143.99999999999	68749.03000000001	50357.67000000001	40289.03000000002	37642.24000000001	56383.55	76648.07000000004	78006.50000000003	84212.84000000001	77200.37999999999	71383.48000000001	55493.37	51227.6	41803.10000000001	46122.97	42972.77	39710.4	80606.5	47333.19999999999	24702.3	67024.90000000002	107147.8	82659.39999999997	52087.2
K02316	dnaG; DNA primase [EC:2.7.7.-]	38880.65000000003	29567.93	27708.040000000008	34880.10000000001	33948.29000000001	31010.880000000005	36320.46	35099.66000000002	33291.20000000001	35297.48	25392.78000000001	33964.64000000001	30034.31999999999	36147.360000000015	34565.080000000016	34269.750000000015	29951.76	24170.799999999992	34683.17	27707.310000000005	33924.830000000016	31406.320000000003	30134.730000000014	31751.759999999995	35382.32	31019.94000000001	28419.980000000014	26157.25000000002	30672.76000000001	37208.74000000001	37167.60000000001	37849.830000000016	37466.76000000002	33777.750000000015	29587.53000000001	33183.950000000004	32360.620000000014	32907.75000000001	29904.610000000004	24480.57999999999	40116.24	29811.27	18808.44	34045.310000000005	42831.360000000015	38578.44	31655.460000000014
K02317	dnaT; DNA replication protein DnaT	48.38	73.07	88.88000000000002	73.5	59.56	103.37	31.81	89.26	37.02	37.67	61.86	75.28	56.18	50.74999999999999	74.11999999999998	151.92	90.54	99.34	131.18000000000004	174.62000000000003	94.35	105.96	53.77	106.85	50.23	55.91	78.09	84.78999999999998	74.86	40.47000000000001	37.54	76.89000000000001	49.53	55.22	59.62000000000001	85.63000000000002	83.43	74.71000000000002	21.84	55.13	31.35	31.91	33.4	37.83	22.110000000000007	39.44	38.13
K02318	COASY; phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24]	4.0	5.0	2.0	1.0	0.0	0.0	1.0	3.0	5.0	2.0	0.0	2.0	2.0	1.0	1.0	4.0	2.0	5.0	1.0	1.0	1.0	2.0	0.0	1.0	6.0	3.0	0.0	3.0	0.0	1.0	0.0	3.0	3.0	2.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	2.0	3.0	1.0	0.0	1.0	1.0
K02334	dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]	28533.53	18324.14	16086.9	22503.27	17636.21	20323.32	22204.89	22331.57	23757.25	24993.69	14115.69	19192.29	14998.64	19267.01	17119.07	17932.69	21078.4	12976.58	21005.79	16251.02	17164.3	14903.6	16520.3	19058.76	22823.62	19241.75	19640.75	22010.22	17802.260000000002	24415.74	24428.09	29753.02	25242.34	21988.61	20688.16	27790.94	29642.49	22698.04	20474.89	12888.75	22615.91	11502.96	10617.59	20498.14	26715.04	25747.32	22435.25
K02335	polA; DNA polymerase I [EC:2.7.7.7]	40897.990000000034	32331.849999999995	34183.45000000001	36112.20000000001	41472.96000000002	32480.79	41498.28000000001	39420.400000000016	34755.290000000015	38346.57	28848.950000000008	39127.37000000002	35135.90999999999	42493.950000000026	41248.91	37449.85000000001	35197.52000000001	26718.56	40150.41000000002	29060.890000000007	44181.48000000002	36828.16	33675.750000000015	38544.599999999984	40153.070000000014	35511.090000000004	33889.73000000002	28284.09000000001	34976.110000000015	41866.330000000016	40904.03000000002	42036.92000000001	43357.35	38956.1	33423.12000000002	34922.87000000002	33062.54000000001	35089.25000000001	31395.880000000005	28064.269999999997	44685.83	31866.11	20631.11	35555.57000000001	45649.85000000003	41190.110000000015	33024.23000000002
K02336	polB; DNA polymerase II [EC:2.7.7.7]	48.38	74.27	95.28000000000004	94.1	69.76	108.17	32.61	90.26	37.42	37.67	63.26	94.08	70.38000000000002	53.54999999999999	77.32	158.92	94.14	104.54	135.78	195.42000000000004	107.95	108.76	57.17	111.85	54.63	56.11	87.89	115.79	86.46	43.07000000000001	40.33999999999999	79.89000000000001	51.53	56.22000000000001	64.22	99.23	98.83	77.71000000000002	25.24	58.13	33.35	33.91	35.2	42.63	29.110000000000007	40.04	42.53
K02337	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]	40899.78000000003	32194.97	34054.30000000002	35834.21	41265.31000000002	32529.73000000001	40278.720000000016	39490.70000000002	35153.220000000016	38218.54	27462.50000000001	37617.60000000002	37427.65999999999	42585.390000000014	41375.91000000002	37969.790000000015	35016.990000000005	28782.509999999995	41268.95000000001	30205.990000000016	44568.14000000002	38273.210000000014	35245.840000000004	37273.289999999986	40023.12000000002	38918.76	33656.93000000001	28077.88000000002	34244.03000000001	40999.36	40076.62000000002	39557.17000000002	42127.95	37868.31000000001	33268.76000000002	34864.85	33082.24000000001	34897.400000000016	31359.94	27641.909999999985	43227.2	31651.6	20515.060000000005	35524.9	45645.01000000002	41127.07	33149.360000000015
K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	38886.700000000026	29604.189999999995	27719.26000000001	34911.67000000001	33970.580000000016	31022.630000000005	36339.67000000001	35087.95000000001	33311.34000000001	35332.84	25405.67000000001	33977.26000000002	30065.719999999987	36181.76000000002	34583.70000000001	34220.650000000016	29986.800000000007	24179.98999999999	34688.840000000004	27721.200000000004	33935.46000000001	31428.33	30135.170000000016	31745.04	35401.78	31067.01000000001	28437.52000000002	26171.21000000001	30674.700000000004	37241.41000000002	37186.02000000001	37852.98000000002	37492.51000000002	33795.380000000005	29612.17000000001	33198.41000000002	32359.950000000008	32942.080000000016	29914.74	24507.839999999986	40141.88	29811.23	18807.08	34003.83	42768.19000000002	38600.26999999998	31547.86000000001
K02339	holC; DNA polymerase III subunit chi [EC:2.7.7.7]	154.88	230.11	382.86	215.1	153.75000000000003	274.34	121.28000000000002	187.76	101.92	115.92000000000002	232.76	184.92	122.05000000000004	147.54999999999995	174.15	311.75	185.64	242.88	293.78	334.2600000000001	160.7	204.59000000000003	171.92	249.1	148.88	169.61	273.39	196.46	142.96	97.23	94.84000000000002	144.89000000000004	107.78	132.39	212.55	389.48	463.33	208.71	1245.91	164.5499999999999	86.6	228.08	250.37	151.79999999999995	115.78000000000002	271.37999999999994	246.02999999999997
K02340	holA; DNA polymerase III subunit delta [EC:2.7.7.7]	38831.160000000025	29532.189999999995	27680.950000000008	34831.860000000015	33931.29000000001	30847.130000000005	36309.62	35070.91000000002	33281.62000000002	35285.73	25369.12000000001	33944.89000000001	30022.249999999985	36146.790000000015	34568.080000000016	34215.180000000015	29851.01	24104.209999999992	34652.58	27527.060000000005	33930.32000000001	31395.83	30128.240000000016	31730.419999999995	35357.07	30971.43000000001	28394.06000000002	26137.920000000016	30649.770000000004	37203.16000000002	37161.69000000002	37836.09000000002	37442.01000000002	33755.76	29571.78000000001	33160.040000000015	32343.380000000016	32875.25	29836.2	24445.419999999984	40112.99	29765.439999999995	18769.27	33979.4	42735.19000000002	38568.44	31507.890000000014
K02341	holB; DNA polymerase III subunit delta' [EC:2.7.7.7]	38444.160000000025	29427.189999999995	27396.950000000008	34492.19	33659.29000000001	30634.130000000005	35904.619999999995	34717.91000000002	33145.62000000002	35105.73	25118.12000000001	33730.89000000001	29840.249999999985	35712.79000000001	34173.080000000016	34028.180000000015	29603.01000000001	23967.209999999992	34314.58	27377.060000000005	33501.32000000001	31181.83	29905.240000000016	31257.419999999995	35249.07	30472.43000000001	28078.06000000002	25860.59000000001	30226.770000000004	36889.16000000002	36664.69000000002	37375.09000000002	37040.01000000002	33021.76000000002	29389.78000000001	33111.710000000014	32334.380000000016	32883.250000000015	29855.2	24319.419999999984	39899.99	29738.439999999995	18768.27	33903.4	42408.19000000002	38438.43999999999	31436.890000000014
K02342	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	16282.54	16228.940000000002	20647.06	15357.62	16076.249999999998	13484.82	15966.130000000005	15179.09	18258.72	18417.950000000008	12320.139999999996	16429.320000000003	21668.829999999994	18938.240000000005	18763.530000000013	14620.37	19096.390000000007	14836.41	21733.65000000001	17363.999999999996	21225.690000000006	19803.83	18092.61	16528.79	17372.799999999996	18953.859999999993	21249.000000000007	16672.65	16919.93	13364.539999999995	12612.580000000002	12367.79	14400.93	14233.78	13102.120000000004	14912.750000000002	10518.16	13494.02	11908.760000000002	12085.28	13522.1	11240.97	9078.91	12363.960000000005	19531.88	17063.24	12156.409999999998
K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	38877.82000000003	29605.189999999995	27719.790000000008	34878.19000000002	33975.79000000001	31036.130000000005	36314.28000000001	35072.41000000002	33293.28000000001	35311.73	25391.110000000004	33953.55000000002	30043.919999999995	36174.62000000002	34573.07000000001	34224.680000000015	29962.51	24168.049999999992	34679.57	27694.390000000007	33934.82000000001	31428.83	30133.240000000016	31735.09	35374.23	30989.090000000004	28412.730000000014	26158.59000000001	30670.11000000001	37226.830000000016	37177.680000000015	37854.42000000001	37467.84000000001	33783.42000000001	29596.450000000008	33196.87000000002	32386.880000000016	32956.91000000002	29907.2	24472.25999999999	40117.49	29797.77	18810.6	34002.73	42759.19000000002	38599.429999999986	31538.220000000016
K02344	holD; DNA polymerase III subunit psi [EC:2.7.7.7]	55.37999999999999	75.91	90.54000000000002	75.0	78.21999999999998	107.04	32.809999999999995	89.26	40.02	37.67	62.86	76.28	79.18000000000002	55.92	80.94999999999997	155.92	104.04	109.01	134.85000000000002	179.79000000000005	120.85	115.29	54.77	108.85	57.23	56.91	79.09	86.78999999999998	94.86	43.47000000000001	37.71	77.89000000000001	59.53	55.22	59.62000000000001	85.80000000000003	105.43	77.71000000000002	21.84	55.13	36.35	33.91	33.4	38.83	31.110000000000007	45.44	40.13
K02345	holE; DNA polymerase III subunit theta [EC:2.7.7.7]	53.58	79.92999999999998	95.62000000000002	79.35	71.5	125.15999999999998	33.55	93.6	42.98	43.72000000000001	65.53	82.06	71.83000000000001	63.28000000000001	105.3	188.28	121.44	130.73000000000002	162.94	223.26	135.45000000000002	154.78	54.88999999999999	108.21999999999998	54.56000000000001	61.45	83.62	92.9	88.38000000000002	49.12	40.19000000000001	81.26	60.1	60.18	61.63	99.14	100.07	86.85	23.31	56.97	36.65	36.06	34.94	43.49	29.72	52.96999999999999	39.94
K02346	dinB; DNA polymerase IV [EC:2.7.7.7]	60669.47000000006	43462.84000000001	41791.110000000015	49316.52000000001	57739.61000000003	40662.11	53151.00000000001	51810.11000000002	49845.62000000001	56936.54	32792.03000000001	46247.51000000002	46596.76999999999	53263.460000000036	52036.39000000003	45191.35000000003	46411.17000000002	34689.219999999994	57010.07000000003	36629.51000000002	58045.46000000002	49019.31000000003	41907.26000000002	50164.10999999999	55162.57000000002	44147.24	42927.380000000034	34095.560000000005	44677.26000000001	58336.81000000003	57231.53000000004	59857.41000000002	58509.87000000001	52706.42000000001	45156.09	43229.71	39116.330000000016	44405.07000000002	35793.88	35729.41	57489.00000000001	35988.39999999999	24300.94	49699.22	66734.68000000002	58123.49000000001	41421.36
K02347	polX, dpx; DNA polymerase (family X)	208.5	154.5	235.0	383.17	176.0	108.5	321.5	192.0	150.5	156.0	173.5	183.5	225.5	230.5	165.0	74.5	110.5	90.0	101.0	98.0	179.0	89.5	107.0	164.0	105.5	336.0	183.5	147.83	115.5	100.0	98.0	158.0	140.0	185.5	84.5	437.83	243.5	245.0	472.5	365.5	287.5	306.5	299.5	275.0	225.0	273.5	308.0
K02348	elaA; ElaA protein	371.68000000000006	344.11	636.6400000000001	591.5999999999998	393.72	385.04	548.91	466.26	533.02	553.17	599.06	459.68	1288.0800000000004	561.1199999999999	368.0	530.92	258.54	1382.6100000000006	952.35	960.89	414.35	986.74	1471.67	510.65000000000015	351.0300000000001	2213.51	589.2900000000002	423.39	894.06	201.97	203.11	262.59	237.23	265.82	498.92000000000013	522.5000000000001	469.43	606.2600000000001	488.24	367.88	314.7999999999999	263.46000000000004	469.85	327.8300000000001	246.26	322.59	304.73
K02351	K02351; putative membrane protein	9.5	8.0	7.0	6.0	11.0	5.5	2.0	4.0	6.5	2.0	3.0	1.0	1.0	8.5	2.5	2.0	4.5	4.0	4.0	6.0	3.0	7.5	5.5	3.0	3.5	4.0	3.0	1.0	1.0	5.0	1.5	3.0	7.0	5.0	4.0	2.0	1.0	6.5	4.0	1.5	2.5	7.0	1.0	2.0	1.0	6.5	11.5
K02352	drp35; lactonase [EC:3.1.1.-]	20.8	25.08	33.97	17.2	28.45	32.61	106.98000000000002	72.05000000000003	70.83999999999997	61.8	88.66	80.14	125.94	107.33	20.680000000000003	24.3	27.2	28.62	30.88	37.39	43.69	34.52	15.579999999999998	20.54	25.53	17.26	37.68	30.75	33.79	15.37	5.83	3.0700000000000003	4.4	7.5	14.269999999999998	15.63	15.56	7.38	69.14	62.39	57.8	57.98	47.29	66.27	65.12	90.69	81.42
K02355	fusA, GFM, EFG; elongation factor G	77380.58000000003	57408.97000000002	51335.94	69314.45	67610.13000000003	61349.26	72063.44	69690.09000000001	65881.10000000003	69833.27	49865.50000000002	65652.45000000004	58647.90999999997	71496.22000000003	67731.81000000001	68372.22000000003	57402.950000000026	47782.63999999999	68795.71000000004	54486.44000000001	65639.13000000003	62347.09	59483.01000000003	61891.22	69075.92000000001	59916.830000000016	52503.36000000002	46114.64000000003	60161.23	74416.11	74489.22000000003	76164.69000000003	74129.81000000003	67470.79	57441.30000000001	63034.25	61460.68000000002	63960.85000000001	59440.11	49499.49999999997	80212.69999999997	61611.29999999999	36790.87	66857.18	85030.47000000003	76329.63999999997	60826.63000000003
K02356	efp; elongation factor P	39090.54000000002	30275.26	27810.50000000002	34969.36	34209.85000000002	31200.500000000004	36363.09	35327.17000000002	33739.970000000016	35672.399999999994	25530.640000000007	34107.500000000015	30179.759999999995	36490.87	34713.53000000002	34415.43000000001	30057.55000000001	24309.21999999999	34801.09000000001	28113.68000000001	34166.67000000001	31547.790000000008	30269.010000000013	31866.6	35427.30000000002	31052.67	28483.820000000018	26249.38000000001	30750.630000000005	37391.63000000002	37238.56000000002	37949.98	37645.54	33837.31	29769.400000000005	33318.0	32465.810000000016	33432.29	30368.04	24907.21999999999	40235.34	29892.679999999997	18972.34	34158.23	42851.30000000002	38851.21	31690.350000000013
K02357	tsf, TSFM; elongation factor Ts	38861.160000000025	29576.189999999995	27684.62000000001	34863.860000000015	33949.29000000001	31010.130000000005	36312.28000000001	35070.91000000002	33284.95000000001	35301.73	25372.78000000001	33948.220000000016	30030.579999999984	36170.12000000002	34567.41000000002	34216.51000000002	29956.01	24152.87999999999	34660.91	27682.060000000005	33921.32000000001	31416.83	30129.240000000016	31730.75	35369.07	30983.76000000001	28396.730000000014	26147.59000000001	30658.770000000004	37221.16000000002	37167.02000000001	37838.09000000002	37450.01000000002	33766.090000000004	29574.78000000001	33175.37000000002	32358.380000000016	32935.580000000016	29905.2	24468.089999999986	40113.99	29787.77	18797.94	33998.4	42752.19000000002	38592.76999999998	31534.220000000016
K02358	tuf, TUFM; elongation factor Tu	39435.52000000002	30142.450000000004	28531.830000000016	35376.46	34537.57000000002	32021.700000000004	36756.32	35884.42000000001	33922.23000000002	35721.209999999985	26016.880000000005	34418.82000000001	30611.379999999986	36835.28	35408.92000000001	35211.44000000002	30719.18000000002	25748.03999999999	35741.38000000001	28850.47000000001	34726.510000000024	32601.350000000013	31178.57000000001	32358.620000000006	35968.5	31709.77	29118.56000000002	26734.040000000008	31207.310000000016	37886.99000000002	37715.56000000002	38307.930000000015	38038.91	34396.21	30267.630000000016	34000.71	33032.31000000001	33557.92000000001	31366.94	24973.89999999999	40577.26	30246.24	19338.32	34397.83	43111.64	39393.460000000014	31993.430000000004
K02361	entC; isochorismate synthase [EC:5.4.4.2]	850.24	2294.19	2858.1500000000005	1998.19	1448.89	1869.9	1638.78	1334.0100000000002	2461.77	1448.39	2174.640000000001	1501.8500000000006	4107.0	1021.52	1120.34	838.2200000000003	1510.0199999999993	2373.66	1161.8099999999995	3234.99	1376.6799999999996	2189.7	2092.86	2103.59	2200.67	4130.719999999998	3619.12	1914.58	2644.38	916.91	941.56	633.14	801.03	1444.96	1370.28	1414.56	1305.72	1384.2099999999996	688.8799999999999	1415.1800000000005	699.93	1038.7	1274.8200000000004	927.04	467.86	964.15	1203.2500000000002
K02362	entD; enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]	47.88	73.27	91.28000000000004	74.10000000000002	63.76	104.6	32.61	81.69000000000003	37.54999999999999	37.67	63.26	76.08	65.38000000000001	50.00999999999999	75.32	140.42	90.76	99.54	132.9	175.42000000000004	99.81	106.84	56.4	103.62000000000002	52.13	57.49	83.00999999999998	87.17	79.21	42.56	38.59	70.47	49.53	55.6	61.6	86.73	89.45	75.69000000000003	23.36	50.59	31.21	31.77	33.95	38.63	26.23	40.04	39.78
K02363	entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]	66.04999999999998	105.07	121.30000000000004	106.0	92.39	126.37	46.98	95.59	52.19	48.92	74.85999999999999	98.12	70.18000000000002	57.58	95.79	174.25	113.04	127.34	157.18000000000004	208.46	112.27	125.13	92.02	135.43	68.14999999999999	88.41	113.59	129.45999999999998	97.69	50.46	53.03999999999999	84.89000000000001	61.45	68.39	74.27999999999999	107.88	97.1	90.38	52.51	84.88000000000002	50.1	82.58	57.24	74.0	45.28	57.95	48.63
K02364	entF; enterobactin synthetase component F [EC:6.3.2.14]	64.88	100.07	115.88000000000002	98.5	96.56	129.86999999999998	44.81	96.26	47.52	42.67	69.86	92.28	64.18	57.25	88.61999999999998	165.92	105.04	113.34	146.18000000000004	200.62000000000003	104.35	118.46	73.27	124.85	60.73	73.91	90.09	110.79	87.86	45.47000000000001	49.03999999999999	82.89000000000001	57.53	67.22	69.61999999999999	102.63	96.43	90.21	45.84	78.63000000000002	44.85	66.91	48.39999999999999	64.83	44.11	56.94	44.63
K02371	fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	37143.30000000002	24626.300000000007	21033.22	32828.72	30977.57000000001	28840.42	34256.520000000004	32503.33000000001	29006.320000000014	32807.66	22134.22	29460.480000000014	24562.769999999986	33800.330000000016	31552.950000000015	31961.220000000016	25852.040000000008	20607.48	33163.98000000002	24192.40000000001	29939.93000000002	28328.63	26887.50000000001	27215.73	30932.15	25134.35	20422.970000000016	17397.990000000005	26342.250000000004	35406.10000000001	35441.48000000002	36198.070000000014	35196.700000000004	31710.200000000004	25973.47	28226.15	27508.21000000001	27860.30000000001	24655.2	20556.8	38271.61	24781.48999999999	14976.49	31902.32000000001	41531.19000000002	36526.02	27799.810000000005
