pathway	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
P163-PWY	L-lysine fermentation to acetate and butanoate	1040.8099	1241.2797	852.0885	2415.7069	1089.2314	1086.7254	1556.3442	1286.3382	1148.0814	1083.839	2209.9536	1378.7382	919.2923	1527.5143	877.4967	1108.8119	881.5398	743.5284	730.2282	1590.0752	1331.9083	783.4780000000001	838.1819	1107.813	1265.81	697.3082	765.6236	796.8942	896.8958	959.4152	1191.0909	1458.7966	1936.9693	955.9582	1780.6241	336.0488	221.0043	641.2622	220.5063	509.8563	559.7431	358.4497	223.8249	193.1196	531.0138	316.04900000000004	373.2296
P164-PWY	purine nucleobases degradation I (anaerobic)	16434.4929	15404.2103	15204.3667	11914.5937	17813.5952	11491.4422	17825.3843	19096.9604	14280.1196	11912.6107	14755.3006	18576.5073	11611.6418	23087.4705	17639.9734	17533.5902	13193.9284	11952.3759	18438.7895	11254.9341	17853.7968	16101.1798	16115.7924	15083.1756	13190.0638	12819.438999999998	12057.9198	9650.24	14711.487	17973.8818	13751.8399	13929.1616	18605.8161	13425.4122	15626.4684	7860.1167	4082.2047	10715.6797	9487.07	14231.4002	18759.4573	14973.6167	8643.6507	8521.3609	16258.5693	10427.8298	8573.7816
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	31.3245	33.9279	135.2747	8.9935	2.6744	21.1465	18.7673	6.7363	15.3032	38.6676	87.1287	5.472	0.0	25.4202	27.8196	8.0887	22.4624	62.4185	82.5857	16.4071	0.0	5.4343	19.7569	8.3248	27.3974	38.1544	104.7543	9.7217	0.0	14.5462	8.87	6.8998	17.4764	27.4725	108.3452	5.3249	2.9314	22.0338	28.4362	4.1425	13.1138	31.8293	70.4101	4.5432	2.8261	12.8782	19.5423
P221-PWY	octane oxidation	62.9162	172.9733	150.4917	61.3107	136.9328	181.2559	67.4342	30.9745	125.2484	159.8979	126.1102	47.8166	125.7108	225.3921	91.5022	34.6258	100.0595	213.8487	156.3241	80.3635	76.6758	250.3556	113.7512	52.4216	94.8762	187.9067	175.1021	107.8669	178.6457	168.0979	48.8081	17.9939	74.3699	154.7652	176.1384	85.4001	150.1466	236.5571	124.4973	44.7696	91.304	176.1671	124.7901	76.3861	93.0822	184.266	95.3786
P23-PWY	reductive TCA cycle I	2389.634	4202.4395	3789.0418	2939.7499	2874.9477	2457.0111	2162.9036	2384.281	2922.2601	2372.308	2726.3138	2349.2870000000003	5004.5126	2283.2205	2293.2957	2619.1781	1920.7999	3681.9320000000002	2800.0482	3791.6912	3242.7168	2837.7241	3274.3381	2150.1864	1800.2293	7717.4177	3576.3782	2679.9765	2263.065	1767.7287	1413.9224	1364.5864	1922.3704	1419.5708	2531.7891	3242.2354	2524.6449	4193.1514	4524.3402	3482.0989	1615.1806	2223.2891	3010.1125	2115.8741	1186.7036	2273.3783	2588.9286
P241-PWY	coenzyme B biosynthesis	4.1897	4.1863	1.1657	10.6386	7.1468	0.0	0.0	3.492	0.0	0.0	0.0	12.4946	0.0	0.0	0.0	1.749	0.0	0.0	0.0	6.5538	2.0983	0.0	0.0	0.0	0.0	0.0	0.0	9.6302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0825	0.0	0.0	0.0
P281-PWY	3-phenylpropanoate degradation	84.9753	108.7951	211.2427	88.73100000000001	57.5479	119.3911	79.7719	112.5661	66.3114	52.097	134.6359	86.9849	49.2427	74.3227	100.132	151.6199	102.5881	124.9235	173.6424	154.0636	58.5319	95.5572	74.08800000000001	112.8651	78.5718	66.7521	155.4766	106.588	43.6613	45.8061	65.0385	90.0201	69.7144	75.3124	158.2636	117.4707	75.7017	106.1386	105.3343	96.8303	49.8654	76.0956	113.8975	53.283	21.3559	58.1394	105.6983
P341-PWY	glycolysis V (Pyrococcus)	1205.4645	1365.5174	556.8044	1807.6489	854.7185	1128.4422	908.8093	734.6026	804.2496	741.2491	1058.2271	549.6122	598.1464	921.428	472.86699999999996	855.7738	510.1681	451.6489	752.9301	788.3734	354.9954	724.1975	862.1067	1112.609	710.6699	1268.9451	1018.5432	687.6536	1050.0351	1468.8037	519.6878	819.7616	841.6169	545.2449	1029.6069	225.5153	208.0661	528.7678	534.7678	410.5628	820.7352	745.4332	495.6198	481.4606	1169.5908	413.0762	574.141
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	331.8843	289.0102	308.485	149.8848	328.5697	590.9248	374.6304	575.9391	196.1465	186.2461	195.2873	155.2094	207.9572	475.0931	419.2233	790.2492	231.5792	318.908	111.7721	119.5403	201.1786	422.9638	440.9827	533.1331	199.9087	211.3398	140.578	113.7564	175.3586	267.3437	306.0654	399.2265	159.4516	117.2044	119.91	57.1834	168.1501	482.0752	428.3292	488.3494	161.6369	153.384	116.4345	32.6185	122.1784	298.5051	266.6711
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	8722.8046	7571.4464	7619.6563	10817.3413	9441.4094	10781.6724	10247.761	8394.0618	7713.3882	8514.6197	8573.4961	9085.22	9388.5494	10018.2359	8562.405	17088.1801	6693.906	8677.1569	10230.7118	9423.2976	7155.5365	10632.1445	9945.5537	10012.1584	6039.7558	8559.4732	7441.4209	6762.2897	9252.6338	7735.1186	9207.5835	8437.2999	7257.2125	9327.2932	6641.9796	7617.2145	6258.2725	11424.0952	11728.921999999999	7507.4791	8238.4374	9441.1488	7172.7349	7712.0198	7852.5879	7522.9831	7985.3498
P42-PWY	incomplete reductive TCA cycle	5189.1709	10032.5333	16163.9737	9047.1767	7393.5972	9344.4576	8963.4878	7162.2317	8686.405	6376.9909	9175.3364	11589.3076	14620.6742	5915.7925	8457.0125	4940.1553	12573.3126	10063.4624	6090.0536	11479.3322	12337.7446	9199.0269	8843.2962	11142.8985	10546.3728	15986.4138	16505.6841	17680.7681	10580.5129	5580.3412	5964.1563	4936.1826	7738.2107	7285.1199	8961.0187	12598.2834	11941.3494	12233.3813	14168.6718	9475.5514	5808.4284	13652.8138	8774.2587	5724.3682	3086.6458	5770.8015	9571.3879
P441-PWY	superpathway of N-acetylneuraminate degradation	11141.1145	16332.6615	21428.5692	12096.7551	17128.3444	11623.3698	13806.4948	13603.1998	10951.7458	15851.5267	12435.1092	19382.1667	18708.9434	17034.4546	16462.9189	13884.1293	16939.4212	13064.3379	13199.8994	11554.4155	19936.776	16386.7438	15574.7752	18667.2806	16208.4461	18234.1491	19507.2415	13835.9536	16382.6501	10785.5231	10835.755	7862.4864	14655.4708	12235.2231	17653.0144	13723.5462	9177.4987	19073.9833	16933.7761	14081.2891	11133.819	12314.4721	11776.8402	10561.2804	8799.851999999999	14174.5701	11121.1767
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	557.6228	869.6565	452.1844	466.0553	783.9651	848.5842	884.7424	771.3271	1140.9594	975.4659	577.9056	579.1399	2440.5304	1202.3999	635.3253	1124.0252	727.7358	2937.2627	1573.3515	1620.1672	805.9167	2285.9909	2391.4903	558.4758	522.1509	4015.8869	613.3995	535.1377	1297.0007	532.3514	391.6383	280.9253	527.8311	743.3435	496.6495	481.4431	674.9254	1768.7381	877.7286	601.6644	686.9684	766.6452	787.6479	331.0114	653.9636	751.8692	592.2783
P562-PWY	myo-inositol degradation I	287.2829	285.1521	239.0129	266.376	426.6435	310.2512	377.8882	479.5194	232.6215	202.8233	173.326	316.6464	239.5749	503.0944	200.4794	232.1103	272.5788	255.8131	281.8982	336.8432	364.5303	291.4681	327.5972	221.1249	249.3252	395.3539	187.2248	347.1101	334.4248	316.2947	302.0616	198.4062	204.361	230.6392	200.7154	254.7431	290.1598	458.3586	528.7792	223.2765	475.5637	546.264	315.5755	336.61800000000005	439.7917	332.9835	371.6548
P621-PWY	nylon-6 oligomer degradation	2.5567	4.7143	10.2857	0.0	1.8333	11.7919	12.913	1.3261	3.68	3.6364	5.8667	4.8	0.0	15.574000000000002	13.9016	24.186	10.1205	7.1579	4.4444	3.3333	1.9091	6.2722	17.0932	11.3898	7.7589999999999995	6.72	6.8571	3.5294	1.8824	7.912999999999999	6.1417	5.1376	0.0	3.4286	5.2174	1.5	0.0	13.8305	20.0	1.3248	3.6522	0.0	3.3333	0.0	1.8182	5.8228	14.1972
PANTO-PWY	phosphopantothenate biosynthesis I	9011.1463	12670.7201	15168.4647	12776.1144	10535.8838	11161.2156	11681.1446	11656.1762	11223.5559	8702.209	10899.157	16727.1626	15141.6346	13634.6356	15959.0109	13095.6097	14457.563999999998	12236.9161	12632.9021	14351.1115	12741.8198	13349.1667	14373.3709	12536.9919	13971.128999999999	16269.5523	16395.3016	15980.5471	15073.7547	9876.9754	9793.5246	6547.9323	9312.3502	9127.7406	10250.3139	21773.6633	19510.4802	20857.1645	18179.726000000002	12914.7791	16313.5748	17171.5672	11823.1268	19513.6024	14305.0691	15137.2745	20965.2936
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	11688.6641	15258.6145	17572.2675	15804.7978	13058.9825	13554.2191	14610.5985	14448.0388	14049.636999999999	11084.4909	13164.0641	19679.7792	17679.0832	16385.2412	18703.826	15730.5247	16991.3733	13890.1841	15292.2965	16680.2363	15434.9498	15712.1633	16665.5931	15252.2189	17235.5159	19037.6818	18931.6672	18290.2755	17613.3722	12562.257	12464.5479	8619.7085	11929.1547	11209.2202	12643.2433	17969.6608	17070.3311	21426.3896	17405.7526	13730.9813	19675.7518	19291.3403	12215.0975	21295.6426	17794.2832	17040.241	19888.032
PENTOSE-P-PWY	pentose phosphate pathway	4974.405	7166.618	6225.1749	5177.0553	5494.85	5776.3957	8568.9216	5135.6041	6270.7468	5433.3939	8917.2166	8013.7149	6122.2774	5737.2445	3694.0994	4139.7952	3851.0374	6580.2267	4410.6645	6611.1285	4246.3162	5256.77	7385.4372	7732.2776	3917.228	8978.0554	5700.8212	4106.4332	8901.3256	5853.6051	5700.5324	8688.8186	7023.6858	7018.3971	4862.8713	5001.2224	3983.9663	6269.2483	5254.682	6245.7457	7792.7962	5616.2414	4604.3688	4021.1248	3545.9754	4733.1963	5034.3969
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	41079.5971	31080.2382	28368.209	36692.2375	36522.6874	32968.836	38721.2476	37479.7988	35097.4784	37441.293	27013.1096	35423.2797	31859.7105	38862.1502	36798.1344	36584.8705	31194.6062	25682.3743	37162.8849	29300.0774	35915.5253	33733.3012	32133.352000000003	33539.1835	37140.0237	32438.7531	28750.3734	25360.7313	32593.4524	39519.2188	39467.3586	40127.4464	39729.9239	36055.2947	31027.1581	34039.9701	33055.1983	34338.0884	31469.6191	26013.3608	42448.8709	31324.4805	19675.3375	35596.1434	45213.6674	40811.443999999996	32710.8731
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	47783.6317	35049.3351	32247.0896	42011.8202	41010.2466	36559.6269	43618.0372	42326.712	39638.0528	42944.0336	29569.5583	40723.0733	34483.8503	43643.7915	41260.9669	41005.3216	35638.6398	28115.8086	42364.1575	32138.3824	40822.8649	37344.2629	35871.7103	37596.0438	42584.7233	36289.5559	32556.5761	30396.4926	35863.1659	45626.7117	45428.3431	46431.7306	45852.2999	40903.1092	35585.4774	38984.9198	37588.9358	39501.5092	35219.7243	29533.2382	49716.8673	36546.0309	22248.6136	41863.8662	53000.0802	47303.8576	37866.0239
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	1068.0366	1666.6329	1365.01	847.1510000000001	994.4469	1128.6624	978.9231	1273.0542	1581.8948	1254.4872	1149.4829	1132.7584	1967.0504	1199.1684	1255.637	1541.8739	1251.6357	1582.5456	1564.1897	1622.2199	1436.4856	1369.8093	1643.9978	1124.9718	677.566	2962.3701	1371.1525	977.11	1305.7967	721.8683	591.8061	755.0863	1001.6717	681.4659	1172.5461	1712.2734	1666.3339999999998	2497.1538	2042.6215	1127.2892	865.9960000000001	960.4998	1555.3472	915.9161	691.7144	1242.8118	1316.0652
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	1117.4843	1690.4953	1325.8522	893.4226	1444.5671	1274.0856	1005.0798	1519.8102	1637.7308	1359.3774	1190.3803	1119.1953	2074.5407	1728.5524	1263.8119	1818.6873	1360.8363	2648.163	2019.4697	2603.5205	1416.9862	2064.1602	2388.5034	1290.7018	845.4577	3049.1036	1315.5151	940.4146	1360.0328	904.3156	1054.6779	1256.2591	1005.7582	1114.7224	1161.9364	1661.5406	1607.0738	2623.1633	4159.4472	1749.9844	931.33	987.0041	1654.9277	927.5235	723.8272	1459.2004	1286.2202
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	5910.5631	10311.652	15840.6302	9152.231	7424.1601	8003.969	7992.2601	7328.3262	10203.5554	6746.4424	8342.7203	11311.864	14501.1459	5408.9883	8544.5382	5982.9761	12163.9409	9725.1712	6526.8568	11213.3262	11985.1179	9097.9078	8190.8869	11395.0441	12667.5107	15991.1794	17303.3086	16743.7453	9859.3681	6518.5165	6819.1309	6178.2183	8160.7708	7177.273	10139.4558	13791.9991	13124.116000000002	11372.743	10413.896999999999	9441.2847	5569.4371	11898.714	8233.3653	6320.0494	2743.3482	5843.6817	10040.0195
PPGPPMET-PWY	ppGpp biosynthesis	239.4612	319.193	363.975	279.6961	272.389	384.6281	90.9752	231.9911	142.25	137.7242	222.0618	248.2601	188.8528	168.7877	208.4452	419.49699999999996	310.0188	327.6707	406.244	496.8266	303.3194	291.4677	222.4242	348.6682	272.2865	238.7564	327.0163	324.125	289.8336	142.9185	126.0854	228.2558	195.7361	197.7675	235.6959	303.649	273.1554	236.7258	73.8673	158.8394	129.6316	136.6977	135.6454	153.0265	92.9976	134.1162	114.1611
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	115.9825	165.1995	221.7038	189.2438	113.9541	200.82299999999998	136.4353	161.1876	72.4677	107.3633	162.2833	211.3351	117.3065	118.3577	202.9608	349.4638	172.6751	263.7301	252.8403	335.5371	178.52599999999998	227.1282	164.2735	172.7008	99.5048	121.654	168.06099999999998	233.1864	110.3473	90.9017	98.8515	132.8086	94.4062	108.8468	141.2505	195.1735	136.3514	149.768	134.74200000000002	146.4976	65.3816	87.3143	88.0705	84.2439	56.0287	82.7683	143.4758
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	3512.4253	5871.8014	9714.0213	5327.3433	3696.3152	5125.8807	5208.0348	3549.114	5073.0627	3519.5254	4883.1153	7813.4738	10413.8746	3239.9007	7901.1112	4602.9034	7074.5615	5934.3113	4436.6412	5474.4214	7595.0562	5225.5944	4411.5072	7477.0558	6392.566999999999	8057.1207	9461.5923	9200.8799	5303.6342	2706.9892	2989.9661	3115.6091	4418.677	3366.0577	6525.6464	10366.8509	9589.2422	9597.4083	10175.2213	4864.9642	3041.6762	5163.92	6682.8566	4984.4456	2456.2285	4538.116	7516.085999999999
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	1932.5489	3843.6008	7278.3385	2995.1657	2527.8002	2704.3777	2622.8856	2360.0639	3698.9746	2189.5561	3114.2361	4306.0125	5914.2955	1745.1927	2846.0891	1907.9916	4766.6259	3918.7928	2171.209	4331.5103	4314.2943	3271.9018	2880.2819	4427.2364	4563.9189	6755.3202	8198.2933	8390.0664	3614.9572	2150.7544	2260.9169	2005.1635	2820.5439	2453.9798	3806.7016	5202.831	4858.5837	3587.9637	2737.0288	2094.034	1223.4991	1942.8845	2517.5241	1976.1883	897.1691	1823.4662	3399.5642
PWY-1541	superpathway of taurine degradation	91.9403	102.6425	111.6178	149.8957	123.3703	157.5152	58.4971	73.4607	85.561	75.0243	85.0003	169.3969	98.2478	51.5986	49.6792	276.2751	51.9689	55.218	68.6051	76.9628	73.4976	24.9077	43.8774	114.1819	41.8911	88.5783	64.8273	46.9713	43.8898	52.2063	64.6326	98.6307	83.3677	62.5269	103.0263	35.0268	44.5381	616.4331	685.9974	1082.1877	325.5353	255.9746	384.0079	43.7933	58.4052	53.5287	62.6317
PWY-1622	formaldehyde assimilation I (serine pathway)	108.5665	126.1446	177.4638	117.5347	179.1756	255.7715	37.0122	64.751	35.7806	9.5521	47.5826	46.0142	18.6776	123.3446	52.8663	100.7215	4.896	34.2303	54.1794	27.4869	40.967	95.2075	74.0952	55.7257	26.9484	18.5527	47.3486	27.2615	32.3653	54.476000000000006	36.3192	54.7307	27.55	0.0	31.5673	18.131	25.3743	163.5488	49.3709	54.196000000000005	4.9848	19.9142	58.4963	17.7325	40.1787	80.3201	37.0228
PWY-181	photorespiration	832.7517	740.4289	981.2991	902.1332	892.8922	1425.3306	887.3338	1540.4333	575.7877	358.5121	594.0486	1088.4964	486.5628	902.8828	806.5028	2209.0582	407.5591	399.6023	405.3865	529.515	381.6297	883.8876	763.9122	1496.0910000000001	453.2518	446.0536	384.0763	533.8635	292.7228	570.7966	667.7185	1125.1212	572.9916	271.8097	540.3125	325.7328	274.3277	5248.307	6266.0209	6576.2362	3634.3873	10352.2251	4192.335	276.1401	358.8071	610.3564	956.2807
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	5573.871999999999	8569.3514	4130.9208	4118.3817	6105.1532	4269.11	4479.8694	5501.9752	8548.8921	3822.5146	6689.1611	5187.9897	4316.2969	6697.5035	3854.7853	6486.7956	2395.8086	6919.6513	3856.929	3894.7002	3466.4197	5890.101	5433.9446	5573.6711	3889.2387	4255.0801	3770.565	4979.8823	7646.6021	5146.291	4116.7697	4572.1781	4189.0224	4059.2332	5155.6957	2129.4793	2056.0117	3520.3366	4487.4628	2971.7525	4716.7806	5526.1678	2889.6638	3286.5840000000003	4873.3661	3190.6204	3657.8341
PWY-2941	L-lysine biosynthesis II	1787.4763	5356.0694	3970.9445	1930.8392	4613.2684	2931.2196	2711.9399	3403.9721	4898.8489	2850.7549	5361.236999999999	4226.7647	4220.4085	5041.9345	3786.1224	4870.7575	1723.1139	5703.5329	2864.1862	2757.1928	2700.2129	4430.5323	3871.3272	4774.7751	2082.4512	2652.4475	3042.7759	4406.6416	7062.4654	1769.5198	2384.8447	2310.6663	1838.0172	3145.8014	3577.1308	1762.4037	1672.6089	3194.2881	3059.5142	1670.0529	2041.5339999999999	2447.4831	2393.6538	1653.6821	2224.2702	2248.1796	1812.7115
PWY-2942	L-lysine biosynthesis III	45040.975	34792.2983	35645.1312	40053.5637	42989.7272	35469.1833	43963.5069	42199.753	38411.1045	41370.6389	30569.0713	41499.0973	37213.9122	44756.942	42759.9529	40284.9159	37014.013	29079.6802	42587.6742	32017.6655	44337.5694	39051.208	36260.0701	39764.7974	42960.2042	38143.1613	35415.3603	30368.819	37134.5459	44928.7636	43835.0489	44410.0492	45637.9283	41032.5331	35759.7582	37257.6152	35107.8458	38182.7626	33418.9972	29993.1474	48819.2452	35830.6399	22347.9309	39535.5329	50339.1828	45042.8327	36000.0046
PWY-3001	superpathway of L-isoleucine biosynthesis I	44338.8878	33113.6958	31403.0161	40102.109	39552.8793	34544.5021	42173.7994	40489.5589	36839.7152	39869.5928	29000.9685	39315.824	33072.2301	41722.1268	39520.7133	38451.1476	34173.2358	28006.3637	40331.4021	31417.3664	39655.8925	35991.4006	34707.5833	36940.3174	40156.0286	36224.0721	31113.5072	27707.206000000002	35234.3221	43241.5947	43014.2192	44085.1673	43545.7024	39444.9928	33849.1335	37429.6221	36207.7707	37569.8734	34250.8172	28788.1384	46998.1502	35071.5531	21591.9991	39091.9532	49127.7842	43932.4155	36108.3057
PWY-3781	aerobic respiration I (cytochrome c)	2274.2199	1773.3258	3164.3799	3875.8004	1914.8193	2089.9577	2040.4366	2036.9745	816.0631	1022.8821	1430.4186	1299.1011	1159.8422	1044.8383	1174.5657	1625.0620000000001	1025.3513	1336.4913	1309.6866	1643.6675	1151.6388	1319.0684	1517.1714	1593.0652	1338.3991	2839.7248	1682.9379	1730.0798	981.9354	1257.2231	1136.1305	1371.2865	880.7192	973.4843	1283.3103	3131.17	2085.6427	2260.6941	2077.4843	2622.0162	733.2525	1054.9059	2016.5337	1761.4648	737.0203	1375.2216	2153.451
PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	14.0085	8.2274	20.2532	5.7093	17.3254	20.421	10.4351	5.7212	0.0	0.0	0.0	2.9523	8.3267	2.9183	0.0	11.41	0.0	0.0	0.0	0.0	2.9555	5.791	5.742999999999999	13.6931	0.0	0.0	0.0	0.0	5.7794	12.9138	2.9084	0.0	0.0	0.0	0.0	0.0	2.9473	5.7938	5.4632	2.8498	0.0	0.0	0.0	0.0	11.5527	5.5572	0.0
PWY-4722	creatinine degradation II	0.0	0.0	0.0	0.0	8.8673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.694000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3842	0.0	0.0	0.0	0.0	0.0	0.0	2.9716	14.1056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.1527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.538	0.0	0.0
PWY-4984	urea cycle	658.0743	721.878	1123.0674	1037.2432	1044.7573	1090.6552	841.0762	602.0861	1286.4723	763.8189	858.6378	309.7244	2977.5275	490.1286	791.8233	1107.454	550.8394	4407.5892	2061.6691	2051.1087	921.7887	2447.1539	3359.5521	412.324	401.2996	4794.4744	868.0157	260.7661	1123.0865	367.51599999999996	403.1219	189.3842	364.1629	560.5959	499.0587	187.8847	261.9707	1417.0256	1427.9604	1703.1741	797.5711	2782.5868	1049.3628	245.1102	161.389	226.0079	423.3248
PWY-5005	biotin biosynthesis II	272.1386	315.644	316.788	376.5288	442.9492	882.9083	376.6565	382.9237	571.9607	447.9558	463.9527	538.5669	741.2074	529.8455	709.1734	923.4827	546.3819	1660.7537	707.8489999999999	831.1437	506.67800000000005	837.1407	866.2472	333.4095	204.1937	349.4545	332.6364	342.0901	412.3075	281.8195	214.6109	237.185	263.4285	542.2481	368.1363	343.7094	182.2778	1657.6266	1630.0118	2210.8497	1112.2431	2341.4578	1540.3068	289.5338	245.1249	410.4396	288.4945
PWY-5022	4-aminobutanoate degradation V	567.9378	537.4979	684.2557	649.7585	799.2092	1010.4691	661.9647	831.6611	810.4186	662.0128	670.3925	588.3331	1422.5921	783.8989	849.6226	1133.6782	602.7405	1993.0389	1144.4065	1328.7347	812.1947	1231.8239999999998	1558.8373	719.6493	566.3586	1126.8011	701.3159	594.0536	1050.3611	387.3558	283.5493	369.0878	424.8843	489.4613	663.3382	394.1083	422.3212	703.0785	594.6158	451.7785	572.2039	343.8206	540.235	374.6711	504.209	512.3962	409.6051
PWY-5028	L-histidine degradation II	84.1098	89.2824	497.9635	182.9946	16.1761	28.5209	39.584	21.1226	63.0401	41.894	326.3512	173.6839	10.4849	22.2968	18.5903	74.7288	52.8357	111.2911	282.173	167.1978	14.5429	24.8238	44.3592	22.3561	96.6264	60.674	401.4598	215.7695	12.4554	8.9691	12.4487	19.8626	54.273999999999994	55.1824	368.3905	108.1754	21.9469	14.8895	24.6393	29.605	44.5791	56.663999999999994	242.8898	52.163000000000004	4.9924	8.9698	33.1763
PWY-5088	L-glutamate degradation VIII (to propanoate)	125.5115	82.7648	39.1495	53.3605	123.4519	59.6589	16.274	190.2027	40.5968	25.8952	55.8768	38.8064	55.8328	30.4353	4.143	23.2028	32.8673	22.7657	32.8874	36.7796	70.1218	25.9699	15.9068	41.0964	56.7848	30.6836	57.9285	56.1303	48.3128	38.5808	46.1859	116.3229	81.0812	16.437	114.6829	23.4601	33.9624	6.5156	7.0639	81.32600000000001	21.3123	14.5424	8.3766	11.0066	23.0746	44.9245	1.1845
PWY-5097	L-lysine biosynthesis VI	47880.2363	37026.5004	36135.6579	41736.9786	45391.4853	36071.7435	45838.907999999996	44264.0535	40638.7228	44216.14	30833.4346	43293.5359	37645.3166	46624.7581	43938.0894	41093.5268	38638.1947	30152.927000000003	45378.0987	32915.1296	46454.4675	40162.7574	37402.1831	41944.8322	46130.4569	39836.888999999996	36745.5565	31421.6608	38860.2877	48141.0488	46514.7196	47217.612	49060.2973	43621.371	38361.4988	38418.7632	35732.65	39075.9062	33520.7629	31254.6778	51743.9193	37358.3523	22305.5646	41259.5904	53786.4183	47815.8984	36990.6853
PWY-5100	pyruvate fermentation to acetate and lactate II	49612.8394	37111.5089	28863.8581	43243.4633	40915.1052	36787.8767	44015.7015	43003.6394	43343.2878	44799.3454	30672.9412	38594.1706	35323.2981	43440.9714	39088.4414	40468.8075	33699.1817	30585.1618	42447.9543	34127.5434	38388.1565	37857.2896	36713.4315	37136.3467	42171.9384	37338.1838	30280.2779	26866.5122	38181.6739	46275.185	46356.4522	48492.1427	46349.5231	41995.1912	35819.9587	39509.857	38536.1157	39360.2187	35541.0432	29315.4142	48203.5218	34385.8585	21896.4069	41122.1047	53128.9616	47596.5155	38064.6136
PWY-5101	L-isoleucine biosynthesis II	55389.2147	41408.2863	40095.2673	49197.1657	49631.1824	41540.4772	52628.4985	50500.0088	46087.7867	49772.8564	35878.2447	49346.8488	40990.7844	52064.0144	49241.8432	47619.4758	42916.8903	34461.7238	50619.2871	37767.9472	50518.4803	44930.6504	42821.155	46494.867	51068.7287	45695.3214	40028.4931	36051.8532	43566.7798	54455.3795	54058.7215	56105.6081	55346.5848	49587.4645	42674.7045	45784.2558	43484.1984	46669.1671	42232.8799	36716.4942	59585.3088	45144.6529	27037.5043	48856.5796	61790.9525	55071.7034	44549.4215
PWY-5103	L-isoleucine biosynthesis III	47711.8338	35201.2002	34056.7404	42561.7492	42242.7148	34987.0155	44667.1117	42911.4756	38708.2777	42747.6721	29836.7836	42346.3018	33204.6301	44224.5835	41726.2225	39858.8193	36844.7065	28879.8116	43073.6235	32195.9152	42998.8853	37318.0638	35946.4551	39688.6228	43449.2438	37935.616	33594.9897	30897.9016	37171.0069	46898.3304	46618.1197	48056.3309	47350.9922	42387.7161	36472.3418	39768.2636	37968.1913	39867.4951	35948.0183	30917.6788	51213.1499	37712.1108	22731.0071	42385.9633	53589.2528	47530.5814	38627.9269
PWY-5104	L-isoleucine biosynthesis IV	54038.7951	40085.1929	37592.2011	48273.5594	47504.8378	40342.1181	50930.4416	48798.2514	44935.3899	48775.3838	34739.8527	46703.1412	40112.8346	50186.0333	46881.8658	45837.8866	41204.0445	33434.5164	49018.0984	37048.6692	48131.4693	43270.0811	41486.3183	44516.128	49391.3331	44521.2463	38368.0603	34500.6711	42296.937999999995	52790.3112	52565.9947	54922.9054	53804.3999	48290.0784	41489.2668	47216.8815	45521.2786	46134.7817	42551.187000000005	35471.9597	56630.9105	42265.7621	26531.2362	47551.5325	59889.1329	53714.4352	45005.0767
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	41640.2047	31024.8248	28765.7917	37245.1955	35751.0873	32421.914	38337.2771	36867.4768	35248.4272	37680.9227	26288.808999999997	35454.4158	31443.8669	37891.3013	36350.9056	35958.8056	31598.666	25709.529	36981.998999999996	29165.0325	35720.1492	33235.3074	31753.6105	33451.2842	37719.0111	32965.5317	29698.92	27327.1704	32258.3521	39779.1095	39806.8246	40671.7982	39948.3993	36049.8246	31378.2411	34462.986000000004	33243.692	33725.8294	30217.4695	25357.0357	42355.2908	31084.7883	19156.3512	35812.4072	45751.2171	40950.9513	32701.0402
