Pathway	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Cytochrome P450 [BR:ko00199]	208.0	191.35999999999999	182.23000000000002	150.94	311.87	312.46000000000004	204.3	260.82	85.41000000000001	102.34	79.07	91.45	220.85999999999999	209.63	172.37	279.84	139.60999999999999	148.20999999999998	89.77000000000001	111.8	203.43	182.8	262.40999999999997	327.68	168.57	263.53	128.3	142.5	215.26999999999998	160.6	205.48000000000002	193.82999999999998	102.51	95.00999999999999	104.27	99.27	190.73000000000002	239.84	233.58	303.01	110.84	141.34	86.14	54.47	145.66	174.10999999999999	273.41
Cytoskeleton proteins [BR:ko04812]	453448.79000000027	318596.3400000001	264052.97	398139.18000000005	369687.1300000001	330397.44999999995	417294.35	395789.61000000016	367772.7500000001	408043.69	272767.68000000005	369639.0500000001	299222.3999999999	395838.43000000017	358965.3400000001	358696.6400000001	311264.92000000004	253020.78999999998	384091.9800000001	295032.26	355816.4100000001	328128.87000000005	328170.1100000001	339093.68999999994	383652.8900000001	333390.7	277104.9600000001	246776.1000000001	335317.28	439341.0100000001	429343.3800000001	456029.0500000002	432080.6800000001	392020.66	326406.51000000007	333915.91000000003	319473.8400000001	346341.54000000004	306030.5399999999	262435.6	470048.27999999997	320978.44999999995	193369.38999999998	380256.4300000001	490718.90000000014	429474.6999999999	331437.46
D-Alanine metabolism [PATH:ko00473]	86317.41000000008	66525.54000000001	69309.96999999999	76354.30000000002	81253.36000000003	69080.81000000001	86331.00999999998	81790.86000000002	73827.94000000002	78564.14000000001	61550.93000000002	81918.77	71528.27999999998	85612.07000000004	81091.93000000002	77269.84000000003	72337.07000000002	56577.79999999998	80175.34000000004	62951.87000000002	85147.39000000001	72945.89000000004	70797.85000000003	76960.58999999998	80961.43000000005	76213.93000000004	69723.18000000002	63713.68000000003	71486.00000000001	84553.08000000006	84534.51000000001	88538.59000000003	90199.83	78586.07	69468.20000000003	73805.20000000001	70102.87000000002	74055.94	65208.98000000002	57012.89999999997	93622.79999999999	67241.69	43117.969999999994	73021.59999999999	94078.32	84204.10999999999	69562.83
D-Arginine and D-ornithine metabolism [PATH:ko00472]	2543.5	1659.73	1490.0600000000002	1308.0399999999997	1891.5699999999995	1772.87	3346.76	2052.3199999999997	2525.6400000000003	1558.34	3177.2400000000002	3004.5800000000004	1953.2200000000007	2006.8699999999997	1454.1200000000001	2115.0	1706.2099999999998	3810.2500000000005	2056.0299999999997	2003.38	1441.6399999999999	2424.5400000000004	3253.2400000000002	2494.42	1455.8700000000001	3944.2799999999997	1645.1899999999998	1157.37	2657.1	2402.41	2476.220000000001	4428.339999999998	3660.21	2602.15	1982.5699999999997	1115.2999999999997	584.6299999999998	1127.67	964.6899999999999	1651.18	4455.34	2707.17	928.61	1007.2699999999999	2427.16	1584.5399999999997	1184.4500000000003
D-Glutamine and D-glutamate metabolism [PATH:ko00471]	119290.05000000008	91280.31	82979.26000000002	107401.31000000006	104605.18000000007	95954.04000000001	111813.69000000002	107475.40000000005	102521.10000000003	108257.17000000001	78861.67000000003	102261.90000000004	93009.47999999997	110611.46000000005	104595.69000000003	104579.59000000003	89666.94	77619.52999999997	106909.11	87173.28000000003	102087.48000000004	97777.15	94359.10000000005	96371.53	106604.91000000002	96776.18000000004	83636.26000000004	74576.06000000003	95039.83000000002	113780.52000000005	113754.52000000003	115548.57000000007	114591.96000000005	103689.57	90350.11000000003	99529.88	96041.82000000005	99559.48000000004	91129.47000000002	75909.15999999997	123724.45999999999	91988.65	57289.21000000001	103108.25	130513.62000000004	117889.46999999997	94895.82000000004
DNA repair and recombination proteins [BR:ko03400]	2815834.3699999996	2112913.7399999998	1949989.2700000012	2468134.890000001	2457258.0300000017	2130276.3800000004	2584195.8999999994	2492593.939999999	2388210.5399999996	2579387.2099999976	1765167.3500000008	2379894.79	2122450.15	2591517.3800000004	2449483.9300000016	2386385.2200000007	2119297.8700000006	1709992.5099999988	2527971.9800000014	1931845.0700000008	2468524.740000003	2254047.150000001	2131757.71	2264947.4100000015	2554943.529999999	2192372.9200000004	1983569.6800000004	1781947.860000001	2179620.7800000003	2702389.7200000016	2675602.1499999994	2755308.0100000016	2720142.2199999997	2443375.890000001	2133865.8700000015	2269551.370000001	2169237.7700000014	2262152.0100000002	2007149.8999999992	1717617.6199999987	2861533.9400000013	2039159.9699999997	1280955.4399999997	2404041.479999999	3101548.0499999984	2776138.4299999983	2167275.039999998
DNA replication [PATH:ko03030]	589233.7900000004	449883.7	428949.0100000001	523339.86000000016	531840.5800000003	462563.54000000004	552724.3500000002	535257.7000000003	503589.8700000002	541678.9	382907.99	511673.4100000001	468928.12999999983	560958.3900000001	535671.3800000002	517666.9700000002	460083.66000000015	372233.3499999999	546640.5800000002	417925.41000000015	540160.7900000002	493111.0200000001	463272.52000000014	487643.2	541562.88	476861.26000000007	431286.88000000024	383704.9300000002	467120.5900000001	566175.5600000003	562008.4500000003	571831.7500000003	573472.3100000002	518191.15000000014	452181.0200000001	486511.96000000014	464491.45000000024	480969.4900000001	433134.14000000013	366196.95999999985	600169.4700000001	431932.33999999985	274923.85000000003	503910.18000000005	648185.19	583268.4099999999	461762.66000000015
DNA replication proteins [BR:ko03032]	1269028.0700000005	930722.6400000002	836852.2300000002	1103782.01	1070454.8500000003	928471.6100000002	1136454.3900000004	1093545.0900000003	1072138.8800000004	1158334.5799999998	763483.3500000001	1021898.4200000006	924296.8999999998	1128089.5200000005	1059912.3300000005	1024148.4800000006	927491.3600000003	744871.8999999997	1126369.78	848989.7000000004	1070211.5200000003	980013.3400000004	927777.1900000003	982601.2999999998	1126985.0899999999	959753.3200000002	858326.8200000003	774775.7300000002	953578.6100000002	1189875.12	1186081.3900000001	1235651.8200000003	1201803.9500000002	1083849.2400000002	940887.5800000003	967803.0299999999	905377.5200000001	935085.3300000002	831267.72	725147.7299999999	1235672.4400000002	861303.6299999998	527465.07	1029762.6699999997	1386300.4200000009	1217598.6899999995	916093.7100000003
Dilated cardiomyopathy [PATH:ko05414]	2.0	10.0	5.67	9.0	2.83	13.5	5.67	4.5	8.0	11.0	8.5	4.34	6.67	2.83	8.0	10.83	11.0	26.67	10.33	14.67	11.5	12.5	4.0	1.0	3.5	9.0	3.5	3.17	1.0	5.16	5.33	4.5	6.5	6.17	7.33	4.33	10.5	6.5	6.17	4.17	6.5	11.67	3.67	10.67	4.67	4.84	5.0
Dioxin degradation [PATH:ko00621]	6987.939999999999	4950.34	3965.2700000000004	4808.67	3321.7999999999993	3546.3100000000004	5126.9299999999985	5181.58	4346.53	4536.2	3995.0599999999995	4602.7300000000005	1908.6499999999999	4693.419999999999	2915.0900000000006	3146.8599999999997	3428.109999999999	2854.2600000000007	3386.4199999999996	4564.719999999998	3389.8500000000004	3756.0299999999993	3630.5599999999995	2424.7799999999993	4160.16	3364.3099999999995	2413.5499999999997	3160.9300000000003	3758.3899999999985	5904.3	5547.649999999998	5462.5	8432.220000000001	4020.7299999999996	7345.78	3642.120000000001	2162.9900000000002	5854.439999999999	6566.2300000000005	6645.460000000001	11714.570000000002	13012.849999999999	4310.66	3630.2999999999997	8573.109999999999	5261.080000000001	3665.4500000000003
Domain-containing proteins not elsewhere classified [BR:ko04990]	3.91	9.0	10.0	12.94	8.36	21.9	7.45	7.8100000000000005	13.31	9.35	10.55	8.75	12.940000000000001	7.5	5.46	9.9	7.14	15.19	6.3	21.560000000000002	9.559999999999999	8.3	9.14	4.9399999999999995	6.140000000000001	7.55	7.86	7.86	7.5600000000000005	10.45	9.36	6.15	6.46	6.2	8.35	8.34	16.5	13.14	7.85	3.59	6.11	6.75	3.5	10.86	8.16	7.5600000000000005	8.46
Dopaminergic synapse [PATH:ko04728]	58.5	69.66	82.03	51.34	113.67	89.66	41.57	24.389999999999993	19.01	26.840000000000003	44.1	23.15	75.16	42.33	22.17	34.34	29.51	42.01000000000001	49.17	31.5	68.33	53.0	47.11	36.980000000000004	43.07	125.33	45.2	27.7	60.57	37.1	38.68	26.23	23.21	37.21	25.87	33.27	53.33	62.84	57.78	33.15	19.340000000000003	47.13	22.340000000000003	19.67	44.16	42.01	86.35000000000002
Drug metabolism - cytochrome P450 [PATH:ko00982]	3737.53	5164.94	8415.550000000001	4435.910000000001	3993.8	4755.65	3859.1800000000003	4424.01	3452.5	3367.3100000000004	3949.27	5202.259999999999	4531.15	4124.320000000001	4612.949999999999	4987.12	5430.920000000002	4020.0700000000006	4134.45	5311.16	5177.9	3553.7199999999993	4408.63	5764.549999999999	4713.65	5991.609999999999	7536.56	8968.140000000001	4464.67	3187.61	3482.23	3820.28	3970.2000000000003	3070.5699999999997	5268.98	5833.72	5612.67	7180.719999999999	7601.9	6899.92	3600.17	8102.650000000001	5445.7	3052.3100000000004	2366.5699999999997	3088.66	5483.610000000001
Drug metabolism - other enzymes [PATH:ko00983]	310213.2900000001	239485.30000000002	246792.35000000006	281090.4700000001	305372.7100000002	246399.1700000001	308780.0900000001	298275.5100000001	263442.7900000001	289951.97000000003	211672.70000000004	278961.1300000001	266507.5499999999	316522.79000000015	300379.4400000001	275930.8600000001	256256.0300000001	203111.23999999996	304237.52	227919.19000000012	319841.57000000007	278600.98000000004	254904.70000000004	279556.69	292840.31	266799.27	243110.9400000001	194570.0000000001	256415.62	306938.8100000001	302262.97000000003	302971.2000000002	314311.5	288951.93000000005	243813.52000000008	248009.27000000005	230625.25	250492.42	218473.73000000004	203278.53999999995	319970.7599999999	222463.96999999997	146027.47	258828.87000000008	341366.2300000001	303796.25	238002.02000000002
ECM-receptor interaction [PATH:ko04512]	25.0	2.0	3.0	24.0	6.0	142.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	99.0	30.0	0.0	160.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	4.0	0.0	13.0	0.0	0.0	1.0	2.0	37.0	60.0	18.0	0.0	15.0	19.0	25.0	10.0	0.0	28.0
Endocytosis [PATH:ko04144]	9.66	8.0	14.0	25.94	21.86	15.4	5.2	5.0600000000000005	6.0600000000000005	0.6	2.8	24.0	8.940000000000001	5.0	8.46	11.4	5.14	1.94	3.8	32.06	7.06	5.8	7.14	3.94	3.14	1.8	4.86	31.86	10.06	7.2	7.86	4.4	4.46	2.2	3.6	16.34	8.0	8.14	7.6	5.34	3.8600000000000003	3.0	2.0	9.86	8.66	7.0600000000000005	4.46
Energy metabolism	210125.33999999988	153505.9600000001	137585.6	187454.9400000001	188510.20000000007	165828.01000000004	196434.32999999978	193337.53000000003	173397.86999999997	184788.60000000018	135954.50999999998	177103.13999999998	149343.78999999995	198482.42999999993	182767.87999999998	185799.24000000005	155047.42000000007	130223.8599999999	189670.2900000001	144914.21999999997	181215.0800000001	167450.03999999998	160256.37000000005	169780.34000000005	182768.93000000005	157670.15000000005	131972.54000000007	114017.51999999996	162488.70000000004	202770.40999999992	203736.49000000014	210901.48999999993	204973.95000000016	186948.83999999988	155083.80000000002	162389.97000000012	157608.30999999994	177639.27999999985	177275.1699999999	148530.74999999997	221586.99999999983	190270.2200000001	105369.48000000004	177796.52999999982	226763.69000000015	203251.57999999975	160642.47999999998
Enzymes with EC numbers	2089673.1199999999	1635492.43	1757968.1499999985	1811691.0299999998	2098483.6600000025	1590480.6700000006	2068952.1799999985	2010699.390000001	1752236.4800000011	1939191.6600000018	1416036.8400000008	1938930.1500000013	1751735.909999999	2158239.9300000006	2031524.7	1859193.3199999994	1758133.2900000024	1361738.7000000007	2050054.969999999	1453872.2800000005	2261842.3800000013	1868456.4800000007	1696032.0800000017	1911046.0600000003	2030895.930000001	1835972.6299999985	1663790.8800000013	1400081.7000000025	1701853.5600000015	2127694.689999998	2059530.1700000016	2095497.3299999998	2220212.1000000006	1955989.4999999984	1727734.4900000007	1674603.099999999	1548172.2800000003	1754386.6799999997	1523443.0900000003	1446612.4699999988	2285418.520000002	1655725.299999999	1031774.0500000003	1789095.9900000014	2348142.960000002	2073560.9999999995	1625350.1499999992
Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	78065.35000000003	58959.28000000003	55110.04000000002	69985.09999999999	68098.88000000003	62638.52	73472.14	71021.63000000003	66754.87000000002	70876.70999999999	51212.41000000001	69439.04000000004	62597.21999999999	72748.66000000003	69736.52000000005	70196.73000000001	60511.440000000024	52218.020000000004	72985.62000000001	57222.680000000015	68513.54000000004	66274.99	63373.920000000035	63452.91	72565.27000000003	66760.56999999999	57228.64000000003	52642.28000000002	62042.030000000006	74998.31000000001	74946.41000000003	76164.50000000003	75406.03	68536.87999999999	59554.92000000003	67293.89	66317.80000000003	66614.18000000002	60665.23999999999	48990.82999999999	83971.52999999998	61370.299999999996	37807.16	72075.81	88885.45000000004	80089.51	65998.96000000004
Epstein-Barr virus infection [PATH:ko05169]	802.5	471.7	715.4	936.6	604.2	494.3	525.3	560.0	462.4	458.0	395.4	352.3	261.2	413.3	371.2	622.5	392.1	400.7	459.6	349.8	317.6	258.3	361.4	447.0	469.4	665.7	408.8	304.5	164.6	620.6	714.8	1013.0	564.0	566.5	555.6	505.1	294.4	390.5	391.4	406.5	170.0	221.5	343.8	243.3	99.0	256.1	388.4
Estrogen signaling pathway [PATH:ko04915]	38503.330000000016	28825.469999999994	27193.970000000005	34767.52000000001	33431.19000000002	30463.26	35846.7	34465.60000000001	32596.130000000016	34715.36	24707.18	33333.60000000001	29603.549999999992	35234.74000000002	34058.42000000001	33753.03	29648.030000000013	23818.049999999992	34336.22	27003.17	33586.17000000001	31004.06	29453.26	31268.21	35184.829999999994	30774.680000000015	27917.76000000001	25638.37000000001	29875.55	36884.12000000002	36910.51000000002	37602.17000000001	37026.89	33448.520000000004	29338.35	32547.23	31949.52	31566.92	28470.89	23762.74999999999	39530.37	29207.609999999986	17956.72	33623.07	42356.12000000002	37889.15	31077.80000000001
Ether lipid metabolism [PATH:ko00565]	497.13	809.9399999999997	931.1700000000003	654.9200000000001	730.2500000000001	1273.6	940.0999999999999	662.01	602.55	672.23	977.64	807.4299999999998	1101.7599999999995	783.66	841.47	882.0500000000001	639.8200000000003	1825.76	1028.0800000000002	1542.4099999999996	774.9700000000001	1348.3599999999997	1680.3999999999996	1003.2699999999996	603.78	1259.0800000000006	897.76	909.3399999999997	1332.76	527.6199999999999	505.35	329.65999999999997	403.04999999999995	863.3499999999999	628.0300000000001	992.1500000000001	829.6499999999999	586.08	464.4	992.1799999999997	405.1199999999999	532.9599999999999	628.6799999999997	714.5899999999999	443.74	674.4700000000003	942.6999999999999
Ethylbenzene degradation [PATH:ko00642]	1121.4399999999996	1102.46	1099.6100000000001	2691.82	987.4600000000003	778.1199999999999	1343.3699999999994	1245.07	856.1799999999997	948.77	2111.6800000000007	1259.89	700.3699999999999	1130.8100000000004	671.65	1076.97	752.4800000000004	652.4200000000002	846.44	1694.07	1123.84	648.2500000000001	594.6700000000002	1205.9899999999998	1090.54	739.4799999999997	840.4600000000003	869.0799999999997	775.7100000000003	774.5500000000003	1157.51	1820.35	1730.2100000000007	821.1099999999999	1540.5399999999993	714.4200000000003	542.7199999999998	712.2999999999997	371.29	835.0699999999997	514.25	381.97	474.86000000000007	370.08	496.51	372.61	449.98
Exosome [BR:ko04147]	1283221.6200000008	984643.9599999997	962284.2799999999	1132894.2700000003	1146574.7000000004	983543.5600000003	1204639.01	1157447.0200000005	1100714.3200000003	1163584.1999999993	841119.2900000002	1122568.9200000004	1002360.87	1194785.0200000007	1134823.8100000008	1089255.6900000004	1005359.1000000002	812427.34	1143649.8100000005	896995.6200000002	1172040.1900000002	1041665.3000000005	986852.1000000006	1084411.94	1182949.4500000004	1068637.5100000002	968995.02	874582.8800000002	1021458.1800000003	1239162.1300000006	1236566.9000000004	1272086.2300000002	1275137.89	1136156.3900000001	1002047.7600000002	1074659.4000000001	1033726.1200000006	1049862.9700000002	941776.3699999998	807767.2799999998	1316171.7	954880.7000000001	604707.3000000002	1079076.4900000002	1388270.4400000004	1247977.3699999996	1008806.8100000002
Fat digestion and absorption [PATH:ko04975]	40939.62000000002	26687.41	16641.969999999998	34636.060000000005	27760.81000000001	30350.189999999995	36301.64	34067.45000000001	34699.62	32898.96000000001	26979.96000000001	29034.970000000005	20913.93	31635.39000000001	27376.560000000005	31688.380000000016	23637.84000000001	21321.74	29686.610000000015	24584.62000000001	22583.77	25399.25000000001	26184.18000000001	27577.52	30000.25	25120.799999999992	18343.660000000007	18021.48	27880.450000000008	34815.8	37669.91000000002	42823.12	36971.67000000001	33686.09	26095.840000000004	27103.19	26812.76000000001	26165.49	23481.61	19899.38	38250.42999999999	23836.59999999999	13615.17	30906.530000000013	40784.04	34829.76999999998	27178.47
Fatty acid biosynthesis [PATH:ko00061]	520799.0700000002	378089.27999999997	365958.45	472672.5099999999	456327.8700000002	411953.67000000004	496753.47	473906.36000000016	428336.8300000001	464024.7899999999	341215.5	460115.38000000024	391801.55999999994	494921.0400000001	459861.69000000024	457908.9700000001	403317.41000000015	314999.85	464551.17000000016	370282.16000000003	454823.90000000014	416611.83000000013	406121.86000000004	426321.54	465721.7600000001	416195.05999999994	366365.52000000025	314403.38	415068.61000000004	507650.65000000026	504192.29000000027	514790.05000000016	511369.91000000027	459481.6800000001	391005.4399999999	442492.3100000001	439755.71000000025	442326.75999999995	402371.4799999999	332596.82	548647.35	398330.55	251301.09000000003	454323.04	562148.73	512227.35	426288.6500000001
Fatty acid degradation [PATH:ko00071]	121487.48000000003	92972.59999999998	85435.45999999999	109032.04000000004	103263.68	97258.38999999998	118330.87	110551.05000000002	107364.63000000002	103218.09999999999	92411.90000000002	108084.6	91850.38999999998	110623.80999999998	96616.75000000001	109938.76000000002	90262.65000000001	84361.77	100696.59999999999	90074.16	94594.48999999999	95090.68000000001	97990.78000000003	102937.37	104730.01000000001	103968.14	86353.31	75540.06999999999	102152.9	114692.04000000004	117970.78000000001	129614.72999999998	120614.85	108638.5	92897.88	96916.53	96521.06000000004	103440.71999999997	91334.03	82803.18	124980.34999999999	94320.15	59349.939999999995	98372.07000000004	115864.91	108944.93999999997	96334.02
Fatty acid elongation [PATH:ko00062]	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0
Fc gamma R-mediated phagocytosis [PATH:ko04666]	0.0	0.0	0.0	18.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	18.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	11.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0
Ferroptosis [PATH:ko04216]	27133.260000000013	24813.49	22834.75	25104.610000000008	20932.85	21806.269999999997	29241.99	24447.550000000003	29925.940000000013	25542.639999999996	25100.57	25147.280000000002	29824.109999999997	22252.110000000004	15179.029999999997	21313.560000000005	21586.479999999996	28184.399999999994	17514.5	28096.890000000007	17550.579999999998	22488.31	26557.670000000006	25346.11	26000.6	35866.91	27712.74	16503.86999999999	31428.59	29878.470000000012	28423.84000000002	33555.46000000001	29729.75	28528.130000000005	24180.75	25752.760000000002	28325.92000000001	27347.82	23101.289999999997	21102.37	27985.91	20271.91	15726.900000000001	19891.56	16617.94	21948.61	23665.219999999998
Flagellar assembly [PATH:ko02040]	1099024.1600000006	683161.1000000002	452622.44999999995	928007.7999999998	838026.7700000001	685118.6100000002	835577.5200000001	862855.65	857019.2500000003	980765.9299999998	467864.6499999999	625208.0400000003	584680.84	789858.8100000005	757963.9399999997	686103.8099999999	612193.97	484511.74999999994	905468.39	583984.7100000001	782073.7400000003	686036.2200000001	596386.9900000001	689394.05	913509.3400000001	620572.1600000001	496677.6	453264.6099999999	653791.88	994105.35	1013337.2500000007	1055343.5	966174.4900000001	887604.3100000003	744156.1800000003	749033.31	711412.3600000002	743046.1899999998	678993.9899999998	577232.1099999999	999683.0099999999	713029.8600000005	408338.79	924586.3400000001	1253740.1600000004	1048539.4499999997	742240.3999999999
Flavone and flavonol biosynthesis [PATH:ko00944]	1550.0499999999995	2808.49	7039.1399999999985	1499.11	7564.46	1887.68	3936.83	4242.4	766.3699999999999	2919.39	2243.4200000000005	3953.16	5656.289999999999	6380.77	6932.09	3216.700000000001	5223.25	2621.77	5707.839999999997	2196.49	10418.75	5902.549999999997	3608.2	6026.21	4657.56	4239.07	5205.48	2403.61	3592.04	3714.48	2869.44	1327.04	4361.28	4258.700000000002	3864.31	2328.69	1228.56	2185.6500000000005	1498.1	3794.41	2892.64	1681.56	2024.59	1804.47	2583.6600000000008	2837.13	1786.31
Flavonoid biosynthesis [PATH:ko00941]	2.0	0.0	15.0	14.0	0.0	0.0	0.0	3.0	2.0	0.0	15.0	17.0	0.0	0.0	0.0	0.0	1.0	1.0	8.0	14.0	0.0	0.0	0.0	3.0	5.0	1.0	11.0	13.0	0.0	0.0	0.0	0.0	3.0	0.0	13.0	15.0	0.0	0.0	0.0	1.0	2.0	0.0	7.0	10.0	0.0	0.0	0.0
Fluid shear stress and atherosclerosis [PATH:ko05418]	133392.63000000006	103262.04	102367.83000000003	122689.70000000003	123041.34000000004	113157.43000000002	132600.19	126806.06000000006	111195.20000000003	119311.72999999998	93960.36000000002	126905.11000000006	105278.00999999997	133411.13000000003	127732.12000000005	124341.63000000002	109398.10000000003	89396.06999999998	125363.55000000002	100376.13	125441.74000000005	113753.62000000002	112107.71000000002	115997.41999999998	121783.27000000002	113500.16000000003	99508.40000000005	90289.38000000003	111370.47	131709.50000000006	129378.23000000004	131519.58000000005	132433.65000000005	119447.56	103596.29000000001	121509.44	120361.70000000004	122688.04000000002	114117.90000000001	92093.45999999996	149500.28	113498.94999999998	71425.48000000001	124090.81	150728.42000000004	135350.06	117744.96000000005
Fluorobenzoate degradation [PATH:ko00364]	618.99	736.3800000000002	968.0299999999997	949.25	649.49	1024.8500000000001	655.81	925.77	300.83	506.61000000000007	530.55	591.71	515.17	575.85	853.9599999999998	1431.1	689.9300000000001	959.4300000000001	878.18	1142.63	718.8700000000001	976.93	675.16	945.97	410.64000000000004	762.4699999999999	687.0400000000001	746.6	547.95	449.05	429.5800000000001	641.4200000000001	330.76	434.24000000000007	490.44	762.83	600.2799999999999	758.53	695.2900000000001	925.4399999999998	294.71999999999997	447.34000000000003	462.45	403.11	283.33	475.48	718.2299999999999
Folate biosynthesis [PATH:ko00790]	289624.08000000013	241047.11999999994	249760.03999999995	269736.11000000004	257024.72000000006	215062.19	275084.24	260121.8200000001	259289.11000000013	261328.50000000006	199157.21000000002	291194.13999999996	255608.50999999995	279062.43000000005	279002.4500000001	250660.4800000001	250451.93000000005	210458.99000000005	274385.83	235916.93000000008	271639.86000000004	249610.09000000003	253450.5400000001	263157.87	285241.45	289606.79999999993	260721.63000000012	238089.94	262964.2699999999	281624.2300000002	275400.2400000001	275469.3900000002	277919.48000000004	249109.61000000016	226376.59000000003	268692.68000000005	257586.75	286435.05000000005	233387.71	206520.62000000005	321271.9299999999	261912.54999999996	162779.00000000003	287871.87	329098.06	299440.71	265142.82
FoxO signaling pathway [PATH:ko04068]	10437.67	12275.63	25111.87	12262.1	17131.98	17051.42	16414.14	16862.379999999997	10726.990000000002	9907.94	14438.38	18891.32	21229.92	17273.18	20100.71	16635.84	20846.32	12206.520000000004	16466.48	13673.439999999999	25156.440000000002	17765.83	14274.480000000001	18091.65	17951.31	21625.760000000002	25132.32	25888.230000000003	12028.41	11297.96	11808.869999999999	9909.06	16034.39	13098.039999999999	15608.49	26850.04	29323.53	19730.800000000003	20605.34	13119.779999999997	13029.48	12603.670000000002	13140.41	13636.33	10749.349999999999	12865.11	21544.54
Fructose and mannose metabolism [PATH:ko00051]	717202.4600000002	578238.4500000001	574822.4300000002	593253.2999999999	709375.7400000002	487415.1899999997	667180.8400000004	648649.6900000003	628055.8200000005	677814.0500000002	453340.1700000002	622652.72	586025.3399999997	713765.8700000002	659273.2300000001	588139.5800000002	573317.94	458296.3200000002	691564.3899999999	470030.5499999998	760764.6099999999	623264.2700000001	548427.6700000005	640449.3199999998	689551.7700000001	607758.2700000001	556701.4500000002	451218.83000000013	584984.3799999999	721133.7099999996	687204.2000000002	721625.0300000003	741466.5200000001	659306.08	577037.6299999998	523716.52	463873.0100000001	558517.3500000001	448638.1099999999	471982.61	749812.1599999998	527676.82	322363.8499999999	595735.8300000002	808474.5999999999	700503.6899999998	515844.5000000002
Function unknown	2272978.449999996	1639957.3500000003	1466420.1600000001	1932474.8100000038	1955676.3099999998	1597508.7200000032	2016671.390000004	1969772.6700000016	1883556.3499999987	2060115.8399999966	1325985.8699999999	1785758.2300000007	1590423.9999999977	2026538.0499999996	1880845.0899999985	1802880.7399999998	1620848.1500000008	1302311.7999999977	2007874.9900000019	1454943.1500000015	1956521.1700000016	1737180.8200000015	1616909.9099999978	1755755.450000003	2022414.4799999949	1678162.9799999997	1458659.9300000016	1296413.16	1673247.670000002	2169037.8800000018	2146894.210000002	2235621.2299999967	2193048.7500000005	1949621.2999999975	1696364.4000000025	1628824.26	1498398.019999999	1668306.8399999992	1441853.7999999989	1343610.8399999982	2255457.2300000046	1602495.8299999991	940925.4400000001	1848754.2300000014	2499677.7499999935	2185200.8099999996	1586845.6699999974
Furfural degradation [PATH:ko00365]	31.0	12.0	18.0	0.0	2.0	51.0	54.0	122.0	25.0	8.0	8.0	6.0	2.0	47.0	55.0	136.0	21.0	12.0	10.0	4.0	4.0	55.0	43.0	112.0	25.0	8.0	12.0	4.0	2.0	28.0	39.0	74.0	20.0	4.0	12.0	2.0	2.0	51.0	62.0	105.0	21.0	2.0	10.0	0.0	2.0	25.0	65.0
G protein-coupled receptors [BR:ko04030]	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
GABAergic synapse [PATH:ko04727]	107027.82000000005	80672.02	77783.27	92257.07000000002	92036.34000000004	76846.10999999999	95121.64999999997	91286.82	89860.91	97467.36999999998	63402.73999999999	89440.38	77275.44999999998	95947.02000000005	88377.37000000004	84921.7	81756.92999999996	68402.30999999998	93967.75000000004	73492.20999999999	92592.83	82742.31000000003	80898.93	86046.71	95499.53000000003	86901.33000000003	74868.16999999998	70852.79	83283.92000000001	101746.94000000003	101528.59	104927.66	104089.08000000002	91772.42	81628.23000000003	82820.43	76807.36	80596.64999999997	67176.73	63686.26	108504.33	75346.62	44687.56000000001	88138.66999999997	118325.65	104353.19	78705.45999999999
